member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,actual_temperature_mean_deg_c,discharge_capacity_ah,charge_capacity_ah,n_discharge_capacity_segments,n_charge_capacity_segments,source_step_ids,discharge_capacity_retention_vs_25c,charge_capacity_retention_vs_25c
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,5.683979587510265,1.7178332243021444,0.4271811017188225,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9563358400019039,0.23877334791548083
raw_CU_diffT/TC23LFP09/TC23LFP09_15deg.parquet,TC23LFP09_15deg.parquet,TC23LFP09,LFP,lithium-ion,15.0,,15.0,15.567373894034164,1.7792773973046407,1.6104330130201208,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9905424579496013,0.900153308667508
raw_CU_diffT/TC23LFP09/TC23LFP09_25deg.parquet,TC23LFP09_25deg.parquet,TC23LFP09,LFP,lithium-ion,25.0,,25.0,25.518895622060004,1.796265655273073,1.789065259787842,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.0,1.0
raw_CU_diffT/TC23LFP09/TC23LFP09_35deg.parquet,TC23LFP09_35deg.parquet,TC23LFP09,LFP,lithium-ion,35.0,,35.0,35.3390774812547,1.7940554023822126,1.7929765582066202,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9987695289478079,1.002186224564688
raw_CU_diffT/TC23LFP09/TC23LFP09_45deg.parquet,TC23LFP09_45deg.parquet,TC23LFP09,LFP,lithium-ion,45.0,,45.0,45.26069671587335,1.800766462936664,1.8003779939068705,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.002505647007378,1.006323265211896
raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,TC23LTO09_05deg.parquet,TC23LTO09,LTO,lithium-ion,5.0,,5.0,5.935158935389911,1.5017328206469986,1.435758307353432,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9841020247123428,0.9629036090491121
raw_CU_diffT/TC23LTO09/TC23LTO09_15deg.parquet,TC23LTO09_15deg.parquet,TC23LTO09,LTO,lithium-ion,15.0,,15.0,15.811795773665093,1.5138675542450344,1.4702553175356583,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9920540490265127,0.9860393244656575
raw_CU_diffT/TC23LTO09/TC23LTO09_25deg.parquet,TC23LTO09_25deg.parquet,TC23LTO09,LTO,lithium-ion,25.0,,25.0,25.67092164773927,1.5259930199675806,1.4910716855358699,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.0,1.0
raw_CU_diffT/TC23LTO09/TC23LTO09_35deg.parquet,TC23LTO09_35deg.parquet,TC23LTO09,LTO,lithium-ion,35.0,,35.0,35.53747302880697,1.525720775990997,1.4953812763887957,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9998215955295854,1.002890264026023
raw_CU_diffT/TC23LTO09/TC23LTO09_45deg.parquet,TC23LTO09_45deg.parquet,TC23LTO09,LTO,lithium-ion,45.0,,45.0,45.444965766056534,1.5354646618184038,1.508600144110325,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.0062068710189935,1.0117556109102532
raw_CU_diffT/TC23NMC09/TC23NMC09_05deg.parquet,TC23NMC09_05deg.parquet,TC23NMC09,NMC,lithium-ion,5.0,,5.0,5.790313358071517,1.571218481198803,1.4100837017055454,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9655686790436807,0.8943914088728394
raw_CU_diffT/TC23NMC09/TC23NMC09_15deg.parquet,TC23NMC09_15deg.parquet,TC23NMC09,NMC,lithium-ion,15.0,,15.0,15.702406405726135,1.6144625549042741,1.5324222161132466,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9921436739434359,0.9719885870603246
raw_CU_diffT/TC23NMC09/TC23NMC09_25deg.parquet,TC23NMC09_25deg.parquet,TC23NMC09,NMC,lithium-ion,25.0,,25.0,25.645695101300063,1.6272467358354772,1.5765845777550676,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.0,1.0
raw_CU_diffT/TC23NMC09/TC23NMC09_35deg.parquet,TC23NMC09_35deg.parquet,TC23NMC09,NMC,lithium-ion,35.0,,35.0,35.59049846204475,1.6361003942256505,1.5945470922599032,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.0054408825626726,1.011393308521648
raw_CU_diffT/TC23NMC09/TC23NMC09_45deg.parquet,TC23NMC09_45deg.parquet,TC23NMC09,NMC,lithium-ion,45.0,,45.0,45.592884631675524,1.6390654182223405,1.6085084238723129,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.007262993451817,1.0202487367742126
raw_CU_diffT/TC23SIB09/TC23SIB09_05deg.parquet,TC23SIB09_05deg.parquet,TC23SIB09,SIB,sodium-ion,5.0,,5.0,5.916754995425852,1.284048916956514,1.5214110412671227,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.8160716287061319,1.0594882016546805
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,15.0,15.737176186015981,1.4003379576190595,1.4493296398922337,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.8899786158628923,1.0092917772539314
raw_CU_diffT/TC23SIB09/TC23SIB09_25deg.parquet,TC23SIB09_25deg.parquet,TC23SIB09,SIB,sodium-ion,25.0,,25.0,25.61745157686871,1.5734512410293595,1.4359867706794878,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.0,1.0
raw_CU_diffT/TC23SIB09/TC23SIB09_35deg.parquet,TC23SIB09_35deg.parquet,TC23SIB09,SIB,sodium-ion,35.0,,35.0,35.51297346552396,1.5635489686880535,1.4317100227515507,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,0.9937066544656141,0.9970217358437686
raw_CU_diffT/TC23SIB09/TC23SIB09_45deg.parquet,TC23SIB09_45deg.parquet,TC23SIB09,SIB,sodium-ion,45.0,,45.0,45.47405447378324,1.6249944583215998,1.48254080229847,105,105,discharge_capacity=96;discharge_ocv=97;charge_capacity=106;charge_ocv=107,1.03275806453241,1.032419540743369
