descriptor_id,source_table,measurement_type,aggregation_level,descriptor_name,descriptor_value,descriptor_unit,cell_id,cell_family,chemistry_type,temperature_deg_c,actual_temperature_deg_c,direction,pulse_direction,abs_c_rate,nominal_soc_percent,voltage_v,voltage_window_v,source_member_path,source_notes
D000001,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.7178332243021444,Ah,TC23LFP09,LFP,lithium-ion,5.0,5.683979587510265,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000002,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,0.4271811017188225,Ah,TC23LFP09,LFP,lithium-ion,5.0,5.683979587510265,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000003,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.956335840001904,fraction,TC23LFP09,LFP,lithium-ion,5.0,5.683979587510265,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000004,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.2387733479154808,fraction,TC23LFP09,LFP,lithium-ion,5.0,5.683979587510265,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000005,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.7792773973046407,Ah,TC23LFP09,LFP,lithium-ion,15.0,15.567373894034164,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000006,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.6104330130201208,Ah,TC23LFP09,LFP,lithium-ion,15.0,15.567373894034164,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000007,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.9905424579496012,fraction,TC23LFP09,LFP,lithium-ion,15.0,15.567373894034164,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000008,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.900153308667508,fraction,TC23LFP09,LFP,lithium-ion,15.0,15.567373894034164,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000009,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.796265655273073,Ah,TC23LFP09,LFP,lithium-ion,25.0,25.518895622060004,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000010,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.789065259787842,Ah,TC23LFP09,LFP,lithium-ion,25.0,25.518895622060004,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000011,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.0,fraction,TC23LFP09,LFP,lithium-ion,25.0,25.518895622060004,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000012,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0,fraction,TC23LFP09,LFP,lithium-ion,25.0,25.518895622060004,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000013,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.7940554023822126,Ah,TC23LFP09,LFP,lithium-ion,35.0,35.3390774812547,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000014,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.7929765582066202,Ah,TC23LFP09,LFP,lithium-ion,35.0,35.3390774812547,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000015,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.998769528947808,fraction,TC23LFP09,LFP,lithium-ion,35.0,35.3390774812547,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000016,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.002186224564688,fraction,TC23LFP09,LFP,lithium-ion,35.0,35.3390774812547,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000017,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.800766462936664,Ah,TC23LFP09,LFP,lithium-ion,45.0,45.26069671587335,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000018,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.8003779939068705,Ah,TC23LFP09,LFP,lithium-ion,45.0,45.26069671587335,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000019,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.002505647007378,fraction,TC23LFP09,LFP,lithium-ion,45.0,45.26069671587335,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000020,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.006323265211896,fraction,TC23LFP09,LFP,lithium-ion,45.0,45.26069671587335,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000021,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5017328206469986,Ah,TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000022,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.435758307353432,Ah,TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
