cell_id,cell_family,chemistry_type,temperature_deg_c,ambient_temperature_from_file_deg_c,direction,usable_energy_wh,capacity_from_segments_ah,mean_ocv_v,n_segments,energy_retention_vs_25c,capacity_retention_from_segments_vs_25c
TC23LFP09,LFP,lithium-ion,5.0,5.0,charge,1.3806610796908483,0.4271811017188225,3.271002585192754,105,0.2334573982606584,0.23877334791548083
TC23LFP09,LFP,lithium-ion,5.0,5.0,discharge,5.540024427291062,1.7178332243021444,3.1934046384358603,105,0.9481986451413129,0.9563358400019039
TC23LFP09,LFP,lithium-ion,15.0,15.0,charge,5.32106879083356,1.610433013020121,3.3110522008227083,105,0.8997449802468164,0.9001533086675081
TC23LFP09,LFP,lithium-ion,15.0,15.0,discharge,5.77300720248217,1.779277397304641,3.211749207931819,105,0.9880746338985491,0.9905424579496014
TC23LFP09,LFP,lithium-ion,25.0,25.0,charge,5.9139744123650395,1.789065259787842,3.310605348253542,105,1.0,1.0
TC23LFP09,LFP,lithium-ion,25.0,25.0,discharge,5.842683340330459,1.796265655273073,3.216324905581123,105,1.0,1.0
TC23LFP09,LFP,lithium-ion,35.0,35.0,charge,5.920600976945806,1.79297655820662,3.3125671400206116,105,1.001120492602557,1.002186224564688
TC23LFP09,LFP,lithium-ion,35.0,35.0,discharge,5.842993854596824,1.7940554023822126,3.21975259175192,105,1.0000531458318513,0.9987695289478079
TC23LFP09,LFP,lithium-ion,45.0,45.0,charge,5.941751453714744,1.8003779939068705,3.3130049102204855,105,1.004696848415784,1.006323265211896
TC23LFP09,LFP,lithium-ion,45.0,45.0,discharge,5.866736137070725,1.8007664629366644,3.2185954979041207,105,1.004116738036141,1.0025056470073783
TC23LTO09,LTO,lithium-ion,5.0,5.0,charge,3.492115437404968,1.4357583073534317,2.4496316348610847,105,0.9637719165891272,0.962903609049112
TC23LTO09,LTO,lithium-ion,5.0,5.0,discharge,3.6495235221138747,1.5017328206469986,2.421708022551259,105,0.9860514486113859,0.984102024712343
TC23LTO09,LTO,lithium-ion,15.0,15.0,charge,3.5761330198922674,1.4702553175356585,2.44785677511047,105,0.9869595196201262,0.9860393244656576
TC23LTO09,LTO,lithium-ion,15.0,15.0,discharge,3.676462725712013,1.5138675542450346,2.41621086225918,105,0.9933300537694081,0.992054049026513
TC23LTO09,LTO,lithium-ion,25.0,25.0,charge,3.623383683728686,1.4910716855358699,2.445469706827658,105,1.0,1.0
TC23LTO09,LTO,lithium-ion,25.0,25.0,discharge,3.701149191812803,1.5259930199675804,2.4092040720256884,105,1.0,1.0
TC23LTO09,LTO,lithium-ion,35.0,35.0,charge,3.6317469163728617,1.4953812763887957,2.443814745483942,105,1.0023081278092993,1.002890264026023
TC23LTO09,LTO,lithium-ion,35.0,35.0,discharge,3.6970207026716144,1.5257207759909968,2.406924185652074,105,0.998884538577823,0.9998215955295854
TC23LTO09,LTO,lithium-ion,45.0,45.0,charge,3.6601149038204417,1.5086001441103247,2.442592145062075,105,1.0101372703798117,1.011755610910253
TC23LTO09,LTO,lithium-ion,45.0,45.0,discharge,3.7152517546933153,1.535464661818404,2.4008111835427406,105,1.0038103200248474,1.0062068710189938
TC23NMC09,NMC,lithium-ion,5.0,5.0,charge,5.3816133726917945,1.4100837017055454,3.8547834998374095,105,0.8908019216372783,0.8943914088728394
TC23NMC09,NMC,lithium-ion,5.0,5.0,discharge,5.972378229643568,1.571218481198803,3.7665949841306565,105,0.9647288719392689,0.9655686790436807
TC23NMC09,NMC,lithium-ion,15.0,15.0,charge,5.863627061812669,1.5324222161132466,3.8580727471228577,105,0.9705881661681782,0.9719885870603246
TC23NMC09,NMC,lithium-ion,15.0,15.0,discharge,6.138472897262949,1.6144625549042741,3.752362768929789,105,0.991558438849859,0.9921436739434359
TC23NMC09,NMC,lithium-ion,25.0,25.0,charge,6.041313160618786,1.5765845777550676,3.8576985975144638,105,1.0,1.0
TC23NMC09,NMC,lithium-ion,25.0,25.0,discharge,6.190732342899693,1.6272467358354772,3.7566654894263247,105,1.0,1.0
TC23NMC09,NMC,lithium-ion,35.0,35.0,charge,6.108553633477725,1.5945470922599032,3.8577912267864445,105,1.011130108814298,1.011393308521648
TC23NMC09,NMC,lithium-ion,35.0,35.0,discharge,6.220213358853792,1.6361003942256505,3.745940472739096,105,1.0047621209125464,1.0054408825626726
TC23NMC09,NMC,lithium-ion,45.0,45.0,charge,6.164721357823525,1.608508423872313,3.8551994234312073,105,1.020427379598395,1.0202487367742126
TC23NMC09,NMC,lithium-ion,45.0,45.0,discharge,6.231569247635324,1.6390654182223405,3.75341075108534,105,1.0065964578136652,1.007262993451817
TC23SIB09,SIB,sodium-ion,5.0,5.0,charge,4.768114892220088,1.5214110412671227,3.133999803378162,105,1.0489567695410356,1.0594882016546805
TC23SIB09,SIB,sodium-ion,5.0,5.0,discharge,4.05091640020908,1.2840489169565137,3.0132906803833626,105,0.8253307067316197,0.8160716287061318
TC23SIB09,SIB,sodium-ion,15.0,15.0,charge,4.641575845105345,1.4493296398922337,3.288467286230817,105,1.0211189357046788,1.0092917772539314
TC23SIB09,SIB,sodium-ion,15.0,15.0,discharge,4.361815698475821,1.4003379576190595,2.9704867227554352,105,0.8886730994671524,0.8899786158628924
TC23SIB09,SIB,sodium-ion,25.0,25.0,charge,4.545578074019529,1.4359867706794878,3.3543358827690533,105,1.0,1.0
TC23SIB09,SIB,sodium-ion,25.0,25.0,discharge,4.908234198932275,1.5734512410293593,2.9492282960153644,105,1.0,1.0
TC23SIB09,SIB,sodium-ion,35.0,35.0,charge,4.488184352159948,1.4317100227515507,3.2895648236058923,105,0.9873737243261494,0.9970217358437686
TC23SIB09,SIB,sodium-ion,35.0,35.0,discharge,4.833616481923758,1.5635489686880535,2.974862335336861,105,0.9847974416084813,0.9937066544656142
TC23SIB09,SIB,sodium-ion,45.0,45.0,charge,4.649921668878275,1.4825408022984703,3.2672888125445594,105,1.0229549670382139,1.032419540743369
