member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,source_file_direction,pulse_direction,c_rate,soc_fraction,soc_percent,r_fast_ohm,dt_fast_s,r_100ms_ohm,dt_100ms_s,r_1s_ohm,dt_1s_s
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,1.0,0.0,0.0,0.0496,0.0162,0.05604,0.10594,0.06893,1.00605
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,2.0,0.0,0.0,0.04941,0.01582,0.05568,0.10608,0.06709,1.00609
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,3.0,0.0,0.0,0.04916,0.01585,0.05515,0.10609,0.06508,1.00638
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-1.0,0.0,0.0,0.0491,0.0161,0.05499,0.10581,0.06868,1.00605
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-2.0,0.0,0.0,0.04833,0.01571,0.05397,0.10613,0.06703,1.00635
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-3.0,0.0,0.0,0.0479,0.01604,0.053,0.10549,0.0652,1.00556
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,1.0,0.10045,10.045,0.04477,0.02211,0.04732,0.10799,0.05418,1.01103
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,2.0,0.10045,10.045,0.04451,0.02227,0.04706,0.11074,0.05316,1.00465
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,3.0,0.10045,10.045,0.04434,0.02228,0.0468,0.11072,0.05257,1.0068
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-1.0,0.10045,10.045,0.04503,0.02213,0.04744,0.10821,0.05444,1.0101
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-2.0,0.10045,10.045,0.04491,0.02216,0.04744,0.10977,0.05393,1.00987
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-3.0,0.10045,10.045,0.04483,0.02223,0.0474,0.10992,0.05329,1.00367
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,1.0,0.20091,20.091,0.04438,0.02248,0.04668,0.11021,0.05316,1.01096
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,2.0,0.20091,20.091,0.04414,0.02305,0.04649,0.1116,0.05272,1.0057
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,3.0,0.20091,20.091,0.04401,0.02246,0.04626,0.11094,0.05227,1.00885
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-1.0,0.20091,20.091,0.04452,0.02225,0.04681,0.10874,0.05329,1.01017
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-2.0,0.20091,20.091,0.04452,0.02243,0.0468,0.11049,0.05278,1.00383
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,discharge,-3.0,0.20091,20.091,0.04448,0.02268,0.04672,0.11057,0.05223,1.0112
data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,TC23LFP01,LFP,lithium-ion,,,charge_file,charge,1.0,0.30137,30.137000000000004,0.04401,0.02298,0.04617,0.11207,0.05227,1.0056
