member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,0,0.0175072449127312,0.0175072449127312,0.010191469500680648,3.323465983171,5.6317053867403315
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,1,0.017507432914085,0.0350146778268162,0.020383048442342604,3.31488314419007,5.672753259668507
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,2,0.0175067738746427,0.0525214517014589,0.03057424373823909,3.31316657639388,5.688881906077349
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,3,0.017507269272518,0.0700287209739769,0.04076572741945045,3.31240365737336,5.688601519337017
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,4,0.0175068259740707,0.0875355469480476,0.05095695304391857,3.31183146810796,5.697014143646409
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,5,0.0175072049145047,0.1050427518625523,0.06114839926048412,3.3114500085977,5.693671104972376
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,6,0.0175072077117116,0.1225499595742639,0.07133984710538406,3.31106854908743,5.709284944751382
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,7,0.0175067577325343,0.1400567173067982,0.08153103300449617,3.31049635982204,5.694998121546962
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,8,0.0175067779365435,0.1575634952433417,0.09172223066494163,3.30992417055664,5.704060497237569
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,9,0.0175072645888689,0.1750707598322106,0.10191371161966649,3.30916125153612,5.701656657458564
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,10,0.0175071921727816,0.1925779520049922,0.1121051504189095,3.30858906227072,5.7090327900552476
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,11,0.0175072614963514,0.2100852135013436,0.12229662957339121,3.30782614325019,5.708596685082872
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,12,0.0175069525716122,0.2275921660729558,0.13248792889391997,3.30687249447453,5.717940662983425
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,13,0.01750729221315,0.2450994582861058,0.14267942592953134,3.30591884569888,5.709062099447514
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,14,0.0175072891381594,0.2626067474242652,0.15287092117510245,3.30515592667835,5.711883535911602
