cell_id,cell_family,chemistry_type,measurement_stream,file_count
,LFP,lithium-ion,entropy,2
,LTO,lithium-ion,entropy,2
,NMC,lithium-ion,entropy,2
,SIB,sodium-ion,entropy,2
TC23LFP01,LFP,lithium-ion,entropy,2
TC23LFP01,LFP,lithium-ion,hppc,2
TC23LFP02,LFP,lithium-ion,hppc,2
TC23LFP03,LFP,lithium-ion,hppc,2
TC23LFP04,LFP,lithium-ion,eis,20
TC23LFP04,LFP,lithium-ion,entropy,1
TC23LFP09,LFP,lithium-ion,checkup_raw,5
TC23LFP11,LFP,lithium-ion,entropy,1
TC23LFP12,LFP,lithium-ion,ocv,1
TC23LTO01,LTO,lithium-ion,entropy,2
TC23LTO01,LTO,lithium-ion,hppc,2
TC23LTO02,LTO,lithium-ion,entropy,2
TC23LTO02,LTO,lithium-ion,hppc,2
TC23LTO03,LTO,lithium-ion,hppc,2
TC23LTO04,LTO,lithium-ion,eis,20
TC23LTO05,LTO,lithium-ion,ocv,1
TC23LTO09,LTO,lithium-ion,checkup_raw,5
TC23NMC01,NMC,lithium-ion,entropy,2
TC23NMC01,NMC,lithium-ion,hppc,2
TC23NMC02,NMC,lithium-ion,entropy,2
TC23NMC02,NMC,lithium-ion,hppc,2
TC23NMC03,NMC,lithium-ion,hppc,2
TC23NMC04,NMC,lithium-ion,eis,20
TC23NMC05,NMC,lithium-ion,ocv,1
TC23NMC09,NMC,lithium-ion,checkup_raw,5
TC23SIB01,SIB,sodium-ion,entropy,2
TC23SIB01,SIB,sodium-ion,hppc,2
TC23SIB02,SIB,sodium-ion,entropy,2
TC23SIB02,SIB,sodium-ion,hppc,2
TC23SIB03,SIB,sodium-ion,eis,20
TC23SIB03,SIB,sodium-ion,hppc,2
TC23SIB09,SIB,sodium-ion,checkup_raw,5
TC23SIB09,SIB,sodium-ion,ocv,1
