member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,direction,step_ids,n_points,duration_s,temperature_start_deg_c,temperature_max_deg_c,temperature_rise_max_k,mean_abs_current_a,mean_voltage_v
raw_temperature_BOL/TC23LFP01/TC23LFP01_dS025C.parquet,TC23LFP01_dS025C.parquet,TC23LFP01,LFP,lithium-ion,,,charge,"6,7",17352,17345.84522966683,26.29505,27.67867,1.3836200000000005,0.36059599162604516,3.418966655670241
raw_temperature_BOL/TC23LFP01/TC23LFP01_dS025C.parquet,TC23LFP01_dS025C.parquet,TC23LFP01,LFP,lithium-ion,,,discharge,"9,10",17166,17159.857087333323,26.28893,28.31704,2.028109999999998,0.3638442145871073,3.091217894146395
raw_temperature_BOL/TC23LTO01/TC23LTO01_dS025C.parquet,TC23LTO01_dS025C.parquet,TC23LTO01,LTO,lithium-ion,,,charge,"6,7",15059,15052.875229000005,26.35613,26.84788,0.4917499999999997,0.3670929391637273,2.4631333185210593
raw_temperature_BOL/TC23LTO01/TC23LTO01_dS025C.parquet,TC23LTO01_dS025C.parquet,TC23LTO01,LTO,lithium-ion,,,discharge,"9,10",15040,15033.090749333038,26.36223,28.72326,2.3610299999999995,0.3667816931801204,2.3818654634060747
raw_temperature_BOL/TC23LTO02/TC23LTO02_dS025C.parquet,TC23LTO02_dS025C.parquet,TC23LTO02,LTO,lithium-ion,,,charge,"6,7",15126,15121.282407333336,26.0965,26.60353,0.5070300000000003,0.36485223913391424,2.4618380691453705
raw_temperature_BOL/TC23LTO02/TC23LTO02_dS025C.parquet,TC23LTO02_dS025C.parquet,TC23LTO02,LTO,lithium-ion,,,discharge,"9,10",15026,15019.834302333373,26.09956,28.54,2.440439999999999,0.36650786038979466,2.3799026742558986
raw_temperature_BOL/TC23NMC01/TC23NMC01_dS025C.parquet,TC23NMC01_dS025C.parquet,TC23NMC01,NMC,lithium-ion,,,charge,"6,7",15944,15937.947162666682,26.57299,27.57177,0.99878,0.36057052798973627,3.872151091490406
raw_temperature_BOL/TC23NMC01/TC23NMC01_dS025C.parquet,TC23NMC01_dS025C.parquet,TC23NMC01,NMC,lithium-ion,,,discharge,"9,10",15650,15643.806795666715,26.59742,28.29565,1.6982299999999988,0.3670398675906585,3.738814144371633
raw_temperature_BOL/TC23NMC02/TC23NMC02_dS025C.parquet,TC23NMC02_dS025C.parquet,TC23NMC02,NMC,lithium-ion,,,charge,"6,7",16431,16425.253066,26.48747,27.41294,0.9254700000000007,0.3598932459033153,3.8761591868458063
raw_temperature_BOL/TC23NMC02/TC23NMC02_dS025C.parquet,TC23NMC02_dS025C.parquet,TC23NMC02,NMC,lithium-ion,,,discharge,"9,10",16078,16071.568345666441,26.5119,28.10629,1.5943900000000006,0.3675454754304468,3.7439557860646135
raw_temperature_BOL/TC23SIB01/TC23SIB01_dS025C.parquet,TC23SIB01_dS025C.parquet,TC23SIB01,SIB,sodium-ion,,,charge,"6,7",17631,17626.59493600014,26.4386,27.39767,0.9590700000000005,0.3180682063647988,3.3412086302058013
raw_temperature_BOL/TC23SIB01/TC23SIB01_dS025C.parquet,TC23SIB01_dS025C.parquet,TC23SIB01,SIB,sodium-ion,,,discharge,"9,10",16682,16675.392957666845,26.4386,29.97861,3.5400099999999988,0.33498734199824753,2.8197192626873555
raw_temperature_BOL/TC23SIB02/TC23SIB02_dS025C.parquet,TC23SIB02_dS025C.parquet,TC23SIB02,SIB,sodium-ion,,,charge,"6,7",17600,17595.663731666496,26.49052,27.42821,0.9376899999999999,0.3181936486233771,3.3450039467964383
raw_temperature_BOL/TC23SIB02/TC23SIB02_dS025C.parquet,TC23SIB02_dS025C.parquet,TC23SIB02,SIB,sodium-ion,,,discharge,"9,10",16741,16734.53091433319,26.49052,30.00313,3.5126099999999987,0.33499516357721415,2.8179790885473346
