record_type,source_container,raw_path,member_path,file_name,suffix,size_bytes,sha256,cell_id,cell_family,chemistry_type,temperature_deg_c,soc_percent,measurement_stream,parsed,notes
file,,README.md,,README.md,.md,297,a6815bd080c07828e05e52573ea1762e2722cb3da7b07395952ce2ff3a76db9b,,,,,,metadata,no,
file,,Readme.md,,Readme.md,.md,1295,701317257e12e5f20395b5ff4d9f2a8e41129200a48e94947fa79467060ef1a4,,,,,,metadata,no,
file,,data_EvalSIB.zip,,data_EvalSIB.zip,.zip,222415780,9f2d8d9a3911ce97fcc7ce8b7354725cfb7440621e11fa97bfdbef579dc5d307,,,,,,unknown,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/a_dUdT_discharge_LFP.npy,a_dUdT_discharge_LFP.npy,.npy,216,,,LFP,lithium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/a_dUdT_discharge_LTO.npy,a_dUdT_discharge_LTO.npy,.npy,216,,,LTO,lithium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/a_dUdT_discharge_NMC.npy,a_dUdT_discharge_NMC.npy,.npy,216,,,NMC,lithium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,.npy,216,,,SIB,sodium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,.npy,216,,,LFP,lithium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,.npy,216,,,LTO,lithium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,.npy,216,,,NMC,lithium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,.npy,216,,,SIB,sodium-ion,,,entropy,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LFP01_HPPC_ch_00.csv,TC23LFP01_HPPC_ch_00.csv,.csv,4644,,TC23LFP01,LFP,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LFP01_HPPC_dis_00.csv,TC23LFP01_HPPC_dis_00.csv,.csv,4257,,TC23LFP01,LFP,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LFP02_HPPC_ch_00.csv,TC23LFP02_HPPC_ch_00.csv,.csv,4644,,TC23LFP02,LFP,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LFP02_HPPC_dis_00.csv,TC23LFP02_HPPC_dis_00.csv,.csv,4257,,TC23LFP02,LFP,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LFP03_HPPC_ch_00.csv,TC23LFP03_HPPC_ch_00.csv,.csv,4644,,TC23LFP03,LFP,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LFP03_HPPC_dis_00.csv,TC23LFP03_HPPC_dis_00.csv,.csv,4257,,TC23LFP03,LFP,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LTO01_HPPC_ch_00.csv,TC23LTO01_HPPC_ch_00.csv,.csv,4644,,TC23LTO01,LTO,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LTO01_HPPC_dis_00.csv,TC23LTO01_HPPC_dis_00.csv,.csv,4259,,TC23LTO01,LTO,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LTO02_HPPC_ch_00.csv,TC23LTO02_HPPC_ch_00.csv,.csv,4646,,TC23LTO02,LTO,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LTO02_HPPC_dis_00.csv,TC23LTO02_HPPC_dis_00.csv,.csv,4261,,TC23LTO02,LTO,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LTO03_HPPC_ch_00.csv,TC23LTO03_HPPC_ch_00.csv,.csv,4646,,TC23LTO03,LTO,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23LTO03_HPPC_dis_00.csv,TC23LTO03_HPPC_dis_00.csv,.csv,4261,,TC23LTO03,LTO,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23NMC01_HPPC_ch_00.csv,TC23NMC01_HPPC_ch_00.csv,.csv,4646,,TC23NMC01,NMC,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23NMC01_HPPC_dis_00.csv,TC23NMC01_HPPC_dis_00.csv,.csv,4261,,TC23NMC01,NMC,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23NMC02_HPPC_ch_00.csv,TC23NMC02_HPPC_ch_00.csv,.csv,4646,,TC23NMC02,NMC,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23NMC02_HPPC_dis_00.csv,TC23NMC02_HPPC_dis_00.csv,.csv,4261,,TC23NMC02,NMC,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23NMC03_HPPC_ch_00.csv,TC23NMC03_HPPC_ch_00.csv,.csv,4646,,TC23NMC03,NMC,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23NMC03_HPPC_dis_00.csv,TC23NMC03_HPPC_dis_00.csv,.csv,4261,,TC23NMC03,NMC,lithium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23SIB01_HPPC_ch_00.csv,TC23SIB01_HPPC_ch_00.csv,.csv,4654,,TC23SIB01,SIB,sodium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23SIB01_HPPC_dis_00.csv,TC23SIB01_HPPC_dis_00.csv,.csv,4263,,TC23SIB01,SIB,sodium-ion,,,hppc,no,
archive_member,data_EvalSIB.zip,data_EvalSIB.zip,data_Ri_HPPC/TC23SIB02_HPPC_ch_00.csv,TC23SIB02_HPPC_ch_00.csv,.csv,4654,,TC23SIB02,SIB,sodium-ion,,,hppc,no,
