cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,activation_energy_ev,activation_energy_mev,standard_error_ev,standard_error_mev,r_squared,prefactor_mohm,n_points,temperature_min_deg_c,temperature_max_deg_c,li_reference_family_count,li_reference_mean_activation_energy_ev,li_reference_min_activation_energy_ev,li_reference_max_activation_energy_ev,activation_energy_excess_vs_li_mean_ev,exceeds_every_li_reference
LFP,lithium-ion,charge,1.0,100ms,0.28911707565611383,289.11707565611385,0.011063008619040575,11.063008619040575,0.9956266244461478,0.0010571318029625031,5,5.549514051896207,45.22014073852295,3,0.20069254718881901,0.07390918182003667,0.28911707565611383,0.08842452846729482,False
LTO,lithium-ion,charge,1.0,100ms,0.07390918182003667,73.90918182003666,0.010933007812307296,10.933007812307295,0.9383985266428696,1.3340552457540245,5,5.841882814371259,45.38096904191617,3,0.20069254718881901,0.07390918182003667,0.28911707565611383,-0.12678336536878235,False
NMC,lithium-ion,charge,1.0,100ms,0.23905138409030655,239.05138409030656,0.024085314997418214,24.085314997418212,0.9704460993226218,0.004086327529351631,5,5.622504251497005,45.55246674650698,3,0.20069254718881901,0.07390918182003667,0.28911707565611383,0.03835883690148753,False
SIB,sodium-ion,charge,1.0,100ms,0.35308361410165556,353.08361410165554,0.012239456185035509,12.23945618503551,0.9964080721110375,0.00010123665674782364,5,5.478885958083832,45.36695999999999,3,0.20069254718881901,0.07390918182003667,0.28911707565611383,0.15239106691283655,True
LFP,lithium-ion,charge,1.0,10s,0.29529447681486765,295.29447681486766,0.010807900655943411,10.807900655943412,0.9959973145516342,0.001177500076580403,5,5.549514051896207,45.22014073852295,3,0.20156679290809631,0.08626331478636853,0.29529447681486765,0.09372768390677133,False
LTO,lithium-ion,charge,1.0,10s,0.08626331478636853,86.26331478636854,0.009568861233875032,9.568861233875031,0.9644002619374774,1.099938784180394,5,5.841882814371259,45.38096904191617,3,0.20156679290809631,0.08626331478636853,0.29529447681486765,-0.11530347812172778,False
NMC,lithium-ion,charge,1.0,10s,0.2231425871230528,223.1425871230528,0.02030100884162828,20.30100884162828,0.975770783109347,0.010045957398750624,5,5.622504251497005,45.55246674650698,3,0.20156679290809631,0.08626331478636853,0.29529447681486765,0.02157579421495648,False
SIB,sodium-ion,charge,1.0,10s,0.25003549047600515,250.03549047600515,0.021244966427083293,21.24496642708329,0.9788005667783454,0.005776530168701632,5,5.478885958083832,45.36695999999999,3,0.20156679290809631,0.08626331478636853,0.29529447681486765,0.048468697567908836,False
LFP,lithium-ion,charge,1.0,1s,0.3042749043519977,304.27490435199775,0.012081094913606817,12.081094913606817,0.9952929101462715,0.0006566223606034017,5,5.549514051896207,45.22014073852295,3,0.20636885835101548,0.07404403497073243,0.3042749043519977,0.09790604600098224,False
LTO,lithium-ion,charge,1.0,1s,0.07404403497073243,74.04403497073244,0.010801465555427428,10.801465555427427,0.9399892106786938,1.4412889074569466,5,5.841882814371259,45.38096904191617,3,0.20636885835101548,0.07404403497073243,0.3042749043519977,-0.13232482338028306,False
NMC,lithium-ion,charge,1.0,1s,0.24078763573031636,240.78763573031637,0.02567334354151522,25.67334354151522,0.9670198120577337,0.004074308029991522,5,5.622504251497005,45.55246674650698,3,0.20636885835101548,0.07404403497073243,0.3042749043519977,0.03441877737930088,False
SIB,sodium-ion,charge,1.0,1s,0.33848557870643936,338.48557870643936,0.0154493863031001,15.4493863031001,0.9937890563423668,0.0001813642665556938,5,5.478885958083832,45.36695999999999,3,0.20636885835101548,0.07404403497073243,0.3042749043519977,0.13211672035542388,True
LFP,lithium-ion,charge,1.0,end,0.2940043514855703,294.0043514855703,0.010668019081539972,10.668019081539972,0.9960656835950398,0.0012361897796815068,5,5.549514051896207,45.22014073852295,3,0.20080679170246007,0.08626331478636853,0.2940043514855703,0.09319755978311023,False
LTO,lithium-ion,charge,1.0,end,0.08626331478636853,86.26331478636854,0.009568861233875032,9.568861233875031,0.9644002619374774,1.099938784180394,5,5.841882814371259,45.38096904191617,3,0.20080679170246007,0.08626331478636853,0.2940043514855703,-0.11454347691609154,False
NMC,lithium-ion,charge,1.0,end,0.22215270883544144,222.15270883544144,0.020776726660248247,20.776726660248247,0.9744304475566428,0.010415336395694906,5,5.622504251497005,45.55246674650698,3,0.20080679170246007,0.08626331478636853,0.2940043514855703,0.021345917132981368,False
SIB,sodium-ion,charge,1.0,end,0.24701424847702502,247.01424847702503,0.020709987901268302,20.709987901268303,0.9793474477156895,0.0064632150165729275,5,5.478885958083832,45.36695999999999,3,0.20080679170246007,0.08626331478636853,0.2940043514855703,0.04620745677456495,False
LFP,lithium-ion,charge,1.0,fast,0.23856730527699452,238.56730527699452,0.010603087351762349,10.60308735176235,0.9941088777458078,0.006648610664237737,5,5.549514051896207,45.22014073852295,3,0.17471897352511956,0.07104230732482784,0.23856730527699452,0.06384833175187496,False
LTO,lithium-ion,charge,1.0,fast,0.07104230732482784,71.04230732482785,0.009562460616109046,9.562460616109046,0.9484486232780389,1.448492429418272,5,5.841882814371259,45.38096904191617,3,0.17471897352511956,0.07104230732482784,0.23856730527699452,-0.10367666620029171,False
NMC,lithium-ion,charge,1.0,fast,0.21454730797353636,214.54730797353636,0.01686846697362695,16.868466973626948,0.9817926754514923,0.010037148880401357,5,5.622504251497005,45.55246674650698,3,0.17471897352511956,0.07104230732482784,0.23856730527699452,0.0398283344484168,False
SIB,sodium-ion,charge,1.0,fast,0.2966461537610682,296.64615376106815,0.006553052546679409,6.553052546679409,0.9985381736549992,0.0008112470215142849,5,5.478885958083832,45.36695999999999,3,0.17471897352511956,0.07104230732482784,0.23856730527699452,0.12192718023594862,True
LFP,lithium-ion,charge,2.0,100ms,0.2465867174735163,246.5867174735163,0.009063389468510473,9.063389468510474,0.9959634847509803,0.0051332693567473315,5,5.565749900199601,45.22757099800399,3,0.18221046435281316,0.0751814038113818,0.2465867174735163,0.06437625312070314,False
LTO,lithium-ion,charge,2.0,100ms,0.0751814038113818,75.1814038113818,0.0107081101668105,10.7081101668105,0.9426321837994514,1.2626780778357183,5,5.864908502994012,45.392507664670674,3,0.18221046435281316,0.0751814038113818,0.2465867174735163,-0.10702906054143135,False
NMC,lithium-ion,charge,2.0,100ms,0.2248632717735413,224.8632717735413,0.019729548260813166,19.729548260813164,0.9774263122696718,0.006952376154287699,5,5.6624798003992005,45.5573226746507,3,0.18221046435281316,0.0751814038113818,0.2465867174735163,0.042652807420728134,False
SIB,sodium-ion,charge,2.0,100ms,0.29331235149128204,293.312351491282,0.010068168421280043,10.068168421280042,0.9964776778842223,0.000926491670042407,5,5.517534261477046,45.38927695608783,3,0.18221046435281316,0.0751814038113818,0.2465867174735163,0.11110188713846889,True
LFP,lithium-ion,charge,2.0,10s,0.2974213828779156,297.42138287791556,0.016341135961520224,16.341135961520223,0.9910251737220575,0.0010303366503125577,5,5.565749900199601,45.22757099800399,3,0.2014136198704383,0.0866552451041043,0.2974213828779156,0.09600776300747729,False
LTO,lithium-ion,charge,2.0,10s,0.0866552451041043,86.6552451041043,0.009476740530213369,9.47674053021337,0.9653630073613287,1.047013191921485,5,5.864908502994012,45.392507664670674,3,0.2014136198704383,0.0866552451041043,0.2974213828779156,-0.11475837476633399,False
NMC,lithium-ion,charge,2.0,10s,0.22016423162929497,220.16423162929496,0.020877619196699462,20.877619196699463,0.973731875989192,0.011042823924920253,5,5.6624798003992005,45.5573226746507,3,0.2014136198704383,0.0866552451041043,0.2974213828779156,0.018750611758856672,False
SIB,sodium-ion,charge,2.0,10s,0.16358393699778617,163.58393699778617,0.02030867881840602,20.30867881840602,0.9558050540104537,0.14160998341542735,5,5.517534261477046,45.38927695608783,3,0.2014136198704383,0.0866552451041043,0.2974213828779156,-0.03782968287265212,False
LFP,lithium-ion,charge,2.0,1s,0.29702641150142634,297.0264115014263,0.014960991570993332,14.960991570993333,0.9924463145189583,0.0008456098626622879,5,5.565749900199601,45.22757099800399,3,0.1983159901460676,0.07153340863447052,0.29702641150142634,0.09871042135535874,False
LTO,lithium-ion,charge,2.0,1s,0.07153340863447052,71.53340863447052,0.009850039818201055,9.850039818201056,0.9461788910796556,1.558772429407307,5,5.864908502994012,45.392507664670674,3,0.1983159901460676,0.07153340863447052,0.29702641150142634,-0.12678258151159708,False
NMC,lithium-ion,charge,2.0,1s,0.22638815030230597,226.38815030230597,0.021091562574128555,21.091562574128556,0.9746214190024325,0.006960700616574466,5,5.6624798003992005,45.5573226746507,3,0.1983159901460676,0.07153340863447052,0.29702641150142634,0.028072160156238368,False
