cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,arrhenius_r_squared,arrhenius_activation_energy_mev,vtf_r_squared,vtf_b_k,vtf_t0_k,aic_arrhenius,aic_vtf,delta_aic_vtf_minus_arrhenius,aicc_arrhenius,aicc_vtf,vtf_fits_at_least_as_well,forms_indistinguishable
LFP,lithium-ion,charge,1.0,100ms,0.9956266244461478,289.11707565611385,0.9959600413235435,1611.7487156376628,91.12787556752937,-27.482978072470956,-25.879481500283156,1.603496572187801,-3.4829780724709565,,True,True
LTO,lithium-ion,charge,1.0,100ms,0.9383985266428696,73.90918182003666,0.9995652035757928,14.977198864916822,255.10051896574132,-27.64841077811193,-50.41622645887235,-22.76781568076042,-3.6484107781119306,,True,False
NMC,lithium-ion,charge,1.0,100ms,0.9704460993226218,239.05138409030656,0.9982484850476069,102.05989826498937,238.46815082942626,-19.649909857355205,-31.77858304351927,-12.128673186164065,4.350090142644795,,True,False
SIB,sodium-ion,charge,1.0,100ms,0.9964080721110375,353.08361410165554,0.9978421432077292,1100.68326127471,142.9151272990413,-26.418535279891294,-26.966403137235936,-0.5478678573446416,-2.4185352798912945,,True,True
LFP,lithium-ion,charge,1.0,10s,0.9959973145516342,295.29447681486766,0.9976270785254578,863.7658363174024,147.70489783931302,-27.71627384486093,-28.330491906158258,-0.6142180612973291,-3.716273844860929,,True,True
LTO,lithium-ion,charge,1.0,10s,0.9644002619374774,86.26331478636854,0.9987435951599456,29.94501331291265,243.85880118081033,-28.981133257662698,-43.70155295287295,-14.720419695210254,-4.981133257662698,,True,False
NMC,lithium-ion,charge,1.0,10s,0.975770783109347,223.1425871230528,0.9994819343018001,106.09230010037645,235.4440981920966,-21.35922722859822,-38.58528937232279,-17.226062143724572,2.6407727714017817,,True,False
SIB,sodium-ion,charge,1.0,10s,0.9788005667783454,250.03549047600515,0.9788005667783455,2901.541380308345,0.0,-20.903983814673957,-18.903983814673985,1.9999999999999716,3.096016185326043,,True,True
LFP,lithium-ion,charge,1.0,1s,0.9952929101462715,304.27490435199775,0.9961306515727697,1215.5322166149979,122.65552919989736,-26.60262966443814,-25.58254828349036,1.0200813809477793,-2.6026296644381404,,True,True
LTO,lithium-ion,charge,1.0,1s,0.9399892106786938,74.04403497073244,0.9986992705199982,15.745889724236266,254.23577144382355,-27.76945706324939,-44.92745267588279,-17.1579956126334,-3.7694570632493907,,True,False
NMC,lithium-ion,charge,1.0,1s,0.9670198120577337,240.78763573031637,0.9987870823926744,90.07201832845983,241.92421098637448,-19.011400669679936,-33.525792233905854,-14.514391564225917,4.9885993303200635,,True,False
SIB,sodium-ion,charge,1.0,1s,0.9937890563423668,338.48557870643936,0.9937910359792905,3680.876395319094,9.498890636190056,-24.089490936864863,-22.091084859293055,1.9984060775718078,-0.08949093686486265,,True,True
LFP,lithium-ion,charge,1.0,end,0.9960656835950398,294.0043514855703,0.9974407785468211,936.7015024703654,141.2266128463607,-27.846543983977128,-27.99671424724786,-0.1501702632707307,-3.846543983977128,,True,True
LTO,lithium-ion,charge,1.0,end,0.9644002619374774,86.26331478636854,0.9987435951599456,29.94501331291265,243.85880118081033,-28.981133257662698,-43.70155295287295,-14.720419695210254,-4.981133257662698,,True,False
NMC,lithium-ion,charge,1.0,end,0.9744304475566428,222.15270883544144,0.9996178605419607,99.3582860566569,237.17212827057068,-21.127598546101407,-40.14445829387228,-19.016859747770877,2.8724014538985934,,True,False
SIB,sodium-ion,charge,1.0,end,0.9793474477156895,247.01424847702503,0.9793474477156893,2866.481322781002,0.0,-21.159022835493808,-19.15902283549376,2.000000000000046,2.8409771645061923,,False,False
