target,model,feature,standardized_coefficient,absolute_standardized_coefficient,importance_rank
target_low_temperature_penalty,lasso_core,discharge_capacity_retention_vs_25c,-0.03572959475075317,0.03572959475075317,1
target_low_temperature_penalty,lasso_core,pulse_1c_discharge_median_polarization_1s_mohm,0.002966229295736279,0.002966229295736279,2
target_low_temperature_penalty,lasso_core,temperature_deg_c,-0.0,0.0,3
target_low_temperature_penalty,lasso_core,is_sodium_ion,0.0,0.0,4
target_low_temperature_penalty,lasso_core,charge_capacity_retention_vs_25c,-0.0,0.0,5
target_low_temperature_penalty,lasso_core,ocv_slope_discharge_ocv_slope_penalty_v,0.0,0.0,6
target_low_temperature_penalty,lasso_core,pulse_1c_discharge_median_r_fast_mohm,0.0,0.0,7
target_low_temperature_penalty,lasso_core,pulse_1c_charge_median_r_fast_mohm,0.0,0.0,8
target_low_temperature_penalty,lasso_core,pulse_1c_charge_median_polarization_1s_mohm,0.0,0.0,9
target_low_temperature_penalty,lasso_core,entropy_discharge_mean_abs_dudt_mv_per_k,0.0,0.0,10
target_low_temperature_penalty,lasso_core,bol_thermal_discharge_mean_temperature_rise_max_k,0.0,0.0,11
target_low_temperature_penalty,linear_core,pulse_1c_charge_median_r_fast_mohm,-0.6085439287486957,0.6085439287486957,1
target_low_temperature_penalty,linear_core,pulse_1c_discharge_median_r_fast_mohm,0.5797673431733124,0.5797673431733124,2
target_low_temperature_penalty,linear_core,is_sodium_ion,-0.2598642488575079,0.2598642488575079,3
target_low_temperature_penalty,linear_core,bol_thermal_discharge_mean_temperature_rise_max_k,0.19328355259554697,0.19328355259554697,4
target_low_temperature_penalty,linear_core,ocv_slope_discharge_ocv_slope_penalty_v,0.11333934878924314,0.11333934878924314,5
target_low_temperature_penalty,linear_core,entropy_discharge_mean_abs_dudt_mv_per_k,-0.05725979511494502,0.05725979511494502,6
target_low_temperature_penalty,linear_core,pulse_1c_charge_median_polarization_1s_mohm,0.03466692712321437,0.03466692712321437,7
target_low_temperature_penalty,linear_core,discharge_capacity_retention_vs_25c,-0.03431417441296611,0.03431417441296611,8
target_low_temperature_penalty,linear_core,charge_capacity_retention_vs_25c,0.016121377184436236,0.016121377184436236,9
target_low_temperature_penalty,linear_core,pulse_1c_discharge_median_polarization_1s_mohm,0.009988378818943072,0.009988378818943072,10
target_low_temperature_penalty,linear_core,temperature_deg_c,-0.004136034914224439,0.004136034914224439,11
target_low_temperature_penalty,ridge_core,discharge_capacity_retention_vs_25c,-0.02755171887349094,0.02755171887349094,1
target_low_temperature_penalty,ridge_core,pulse_1c_discharge_median_polarization_1s_mohm,0.008694108096307607,0.008694108096307607,2
target_low_temperature_penalty,ridge_core,pulse_1c_charge_median_polarization_1s_mohm,0.005764333241045183,0.005764333241045183,3
target_low_temperature_penalty,ridge_core,ocv_slope_discharge_ocv_slope_penalty_v,0.00406173036703059,0.00406173036703059,4
target_low_temperature_penalty,ridge_core,entropy_discharge_mean_abs_dudt_mv_per_k,0.003949203279527459,0.003949203279527459,5
target_low_temperature_penalty,ridge_core,charge_capacity_retention_vs_25c,0.003526491839035875,0.003526491839035875,6
target_low_temperature_penalty,ridge_core,bol_thermal_discharge_mean_temperature_rise_max_k,-0.0025183806144320545,0.0025183806144320545,7
target_low_temperature_penalty,ridge_core,pulse_1c_discharge_median_r_fast_mohm,0.0021600526420681035,0.0021600526420681035,8
target_low_temperature_penalty,ridge_core,pulse_1c_charge_median_r_fast_mohm,0.001361325718457677,0.001361325718457677,9
target_low_temperature_penalty,ridge_core,temperature_deg_c,0.0011748798401370758,0.0011748798401370758,10
target_low_temperature_penalty,ridge_core,is_sodium_ion,-3.6878460951183685e-05,3.6878460951183685e-05,11
target_pulse_power_proxy_vs_25c,lasso_core,pulse_1c_charge_median_r_fast_mohm,-0.47099031265313246,0.47099031265313246,1
target_pulse_power_proxy_vs_25c,lasso_core,bol_thermal_discharge_mean_temperature_rise_max_k,0.43848138985016794,0.43848138985016794,2
target_pulse_power_proxy_vs_25c,lasso_core,entropy_discharge_mean_abs_dudt_mv_per_k,-0.37261788250523986,0.37261788250523986,3
target_pulse_power_proxy_vs_25c,lasso_core,pulse_1c_discharge_median_polarization_1s_mohm,0.21191207319078037,0.21191207319078037,4
target_pulse_power_proxy_vs_25c,lasso_core,temperature_deg_c,0.1735363308952708,0.1735363308952708,5
target_pulse_power_proxy_vs_25c,lasso_core,pulse_1c_discharge_median_r_fast_mohm,-0.14573931082419542,0.14573931082419542,6
target_pulse_power_proxy_vs_25c,lasso_core,charge_capacity_retention_vs_25c,-0.009952364810939343,0.009952364810939343,7
target_pulse_power_proxy_vs_25c,lasso_core,ocv_slope_discharge_ocv_slope_penalty_v,-0.006309297314011193,0.006309297314011193,8
target_pulse_power_proxy_vs_25c,lasso_core,is_sodium_ion,0.0,0.0,9
target_pulse_power_proxy_vs_25c,lasso_core,discharge_capacity_retention_vs_25c,0.0,0.0,10
