cell_family,chemistry_type,cell_id,temperature_deg_c,actual_temperature_mean_deg_c,discharge_capacity_ah,discharge_capacity_retention_vs_25c,usable_energy_wh,energy_retention_vs_25c,mean_ocv_v
LFP,lithium-ion,TC23LFP09,5.0,5.683979587510265,1.7178332243021444,0.956335840001904,5.540024427291062,0.9481986451413129,3.1934046384358603
LFP,lithium-ion,TC23LFP09,15.0,15.567373894034164,1.7792773973046407,0.9905424579496012,5.77300720248217,0.9880746338985491,3.211749207931819
LFP,lithium-ion,TC23LFP09,25.0,25.518895622060004,1.796265655273073,1.0,5.842683340330459,1.0,3.216324905581123
LFP,lithium-ion,TC23LFP09,35.0,35.3390774812547,1.7940554023822126,0.998769528947808,5.842993854596824,1.0000531458318513,3.21975259175192
LFP,lithium-ion,TC23LFP09,45.0,45.26069671587335,1.800766462936664,1.002505647007378,5.866736137070725,1.004116738036141,3.2185954979041207
LTO,lithium-ion,TC23LTO09,5.0,5.935158935389911,1.5017328206469986,0.9841020247123428,3.6495235221138747,0.9860514486113859,2.421708022551259
LTO,lithium-ion,TC23LTO09,15.0,15.811795773665091,1.5138675542450344,0.9920540490265128,3.676462725712013,0.9933300537694081,2.41621086225918
LTO,lithium-ion,TC23LTO09,25.0,25.67092164773927,1.5259930199675806,1.0,3.701149191812803,1.0,2.4092040720256884
LTO,lithium-ion,TC23LTO09,35.0,35.53747302880697,1.525720775990997,0.9998215955295854,3.6970207026716144,0.998884538577823,2.406924185652074
LTO,lithium-ion,TC23LTO09,45.0,45.44496576605653,1.5354646618184038,1.0062068710189935,3.7152517546933153,1.0038103200248474,2.4008111835427406
NMC,lithium-ion,TC23NMC09,5.0,5.790313358071517,1.571218481198803,0.9655686790436808,5.972378229643568,0.9647288719392689,3.7665949841306565
NMC,lithium-ion,TC23NMC09,15.0,15.702406405726135,1.614462554904274,0.992143673943436,6.138472897262949,0.991558438849859,3.752362768929789
NMC,lithium-ion,TC23NMC09,25.0,25.645695101300063,1.6272467358354772,1.0,6.190732342899693,1.0,3.7566654894263247
NMC,lithium-ion,TC23NMC09,35.0,35.59049846204475,1.6361003942256505,1.0054408825626726,6.220213358853792,1.0047621209125464,3.745940472739096
NMC,lithium-ion,TC23NMC09,45.0,45.59288463167552,1.6390654182223403,1.007262993451817,6.231569247635324,1.0065964578136652,3.75341075108534
SIB,sodium-ion,TC23SIB09,5.0,5.916754995425852,1.284048916956514,0.8160716287061319,4.05091640020908,0.8253307067316197,3.0132906803833626
SIB,sodium-ion,TC23SIB09,15.0,15.73717618601598,1.4003379576190595,0.8899786158628923,4.361815698475821,0.8886730994671524,2.9704867227554352
SIB,sodium-ion,TC23SIB09,25.0,25.61745157686871,1.5734512410293595,1.0,4.908234198932275,1.0,2.9492282960153644
SIB,sodium-ion,TC23SIB09,35.0,35.51297346552396,1.5635489686880537,0.993706654465614,4.833616481923758,0.9847974416084813,2.974862335336861
SIB,sodium-ion,TC23SIB09,45.0,45.47405447378324,1.6249944583215998,1.03275806453241,5.009527817626754,1.020637486841299,3.003694496810893
