cell_family,cell_id,pulse_direction,median_r_1s_mohm,mean_r_1s_mohm,deviation_percent_of_family_mean
LFP,TC23LFP01,charge,52.15,68.35333333333334,-23.705256997951828
LFP,TC23LFP01,discharge,52.019999999999996,67.37333333333333,-22.788442509400365
LFP,TC23LFP02,charge,67.29,68.35333333333334,-1.5556422510484724
LFP,TC23LFP02,discharge,65.76,67.37333333333333,-2.3946170591727656
LFP,TC23LFP03,charge,85.62,68.35333333333334,25.26089924900028
LFP,TC23LFP03,discharge,84.34,67.37333333333333,25.183059568573118
LTO,TC23LTO01,charge,26.58,29.676666666666666,-10.434684937661466
LTO,TC23LTO01,discharge,26.83,29.846666666666664,-10.107214652669194
LTO,TC23LTO02,charge,31.16,29.676666666666666,4.998315174660228
LTO,TC23LTO02,discharge,31.29,29.846666666666664,4.835827563100303
LTO,TC23LTO03,charge,31.29,29.676666666666666,5.436369763001236
LTO,TC23LTO03,discharge,31.419999999999998,29.846666666666664,5.271387089568913
NMC,TC23NMC01,charge,42.09,41.03666666666667,2.5668101697668755
NMC,TC23NMC01,discharge,41.83,40.78,2.5747915644923847
NMC,TC23NMC02,charge,39.04,41.03666666666667,-4.865567378766967
NMC,TC23NMC02,discharge,38.79,40.78,-4.879843060323696
NMC,TC23NMC03,charge,41.980000000000004,41.03666666666667,2.2987572090000796
NMC,TC23NMC03,discharge,41.72,40.78,2.3050514958312895
SIB,TC23SIB01,charge,88.99,89.97666666666667,-1.0965805949690766
SIB,TC23SIB01,discharge,89.63,90.65666666666668,-1.1324778468213559
SIB,TC23SIB02,charge,88.87,89.97666666666667,-1.2299485051680104
SIB,TC23SIB02,discharge,89.38,90.65666666666668,-1.4082435562746132
SIB,TC23SIB03,charge,92.07,89.97666666666667,2.3265291001370647
SIB,TC23SIB03,discharge,92.96000000000001,90.65666666666668,2.5407214030959135
