cell_family,temperature_deg_c,final_rested_voltage_v,accessible_capacity_ah,nominal_segment_ah,cutoff_limited_segments,cutoff_limited_charge_ah,final_segment_ah,tail_segments_fitted,ratio_geometric,recovery_geometric_ah,ratio_final,recovery_final_ah,ratio_maximum,recovery_maximum_ah,tail_ratio_from_log_fit,tail_log_fit_r_squared,tail_log_fit_rms_percent,tail_ratio_spread,tail_ratio_first_observed,recovery_window4_ah,ratio_window4,r_squared_window4,recovery_window6_ah,ratio_window6,r_squared_window6,recovery_window8_ah,ratio_window8,r_squared_window8,recovery_window10_ah,ratio_window10,r_squared_window10,recovery_window12_ah,ratio_window12,r_squared_window12,cutoff_voltage_v
SIB,5.0,2.2376679224543,1.284048916956514,0.0144895854355878,18,0.023449813813702203,0.0005340757916443,4,0.9621755271540299,0.01358577179537108,0.961097962052252,0.013194659766159978,0.9643965342918628,0.014466592851752298,0.9623973974989367,0.9996742745679627,0.07734948058740308,0.003360610461079938,0.45494122746461185,0.01366908452496405,0.9623973974989367,0.9996742745679627,0.012520382818277683,0.9590886295936947,0.9959391759049199,0.011359498810594813,0.9550954351819718,0.9927123737050645,0.010390362106375757,0.9511118286698215,0.9887339772475948,0.00926292745773897,0.9454858002953178,0.9790643975741058,1.49050663456796
SIB,15.0,2.0972412861202,1.4003379576190595,0.0155731523137823,16,0.0207420517991306,0.0006386654832743,4,0.95869562827817,0.014823753061074495,0.9652786804586874,0.01775537862885668,0.9652786804586874,0.01775537862885668,0.958618594595235,0.9953430887757966,0.3231895145226791,0.012355787477703606,0.6468767307386124,0.014794968948115963,0.958618594595235,0.9953430887757966,0.013152074257772053,0.9536888161718117,0.9922414021238763,0.011733182850351766,0.9483775207995042,0.9893765260193669,0.010488118723511321,0.9426010722051379,0.9837513154483033,0.009167860591306507,0.9348734222070989,0.971887132068344,1.48783547572465
SIB,25.0,1.99630964125506,1.5734512410293595,0.0177078542157639,18,0.035463804926559,0.0009272656784817,4,0.9579976703408533,0.021149264028478772,0.9609623269379497,0.022825832437991918,0.9621452822433748,0.023568113852367227,0.9572880594788762,0.9973736832575261,0.25052568371110057,0.011220114055541686,0.6594142947874199,0.02078248731256087,0.9572880594788762,0.9973736832575261,0.01905415923973003,0.9535936159569601,0.9964894706296047,0.018169164149442113,0.9514429824403197,0.9966056358912753,0.016851300943806026,0.9478436198945728,0.9929311193837026,0.01533184081687278,0.942969456609031,0.9856195327801454,1.48974344632701
SIB,35.0,1.89957553171513,1.5635489686880535,0.016528809986254,12,0.029952864727784904,0.0011606199276276,4,0.9241954295325601,0.014150065436998493,0.9326367878048784,0.016068664273752132,0.9326367878048784,0.016068664273752132,0.9241613008182975,0.9974533213393856,0.44555462032587984,0.01646804641401578,0.6842141671178068,0.014143175366208629,0.9241613008182975,0.9974533213393856,0.012659081543986726,0.9160170044185459,0.9948971626886145,0.011167929643123027,0.9058591668900646,0.9882073499355467,0.00950628821337095,0.8911943449511179,0.9732172342553523,0.007539118362197362,0.8665913974693885,0.935322179639427,1.49584895225458
SIB,45.0,1.82993460472879,1.6249944583215998,0.0165311387127406,8,0.0239344792403482,0.0014532680267108,4,0.8756963773409601,0.010238008507498168,0.8907799400509332,0.011852602958788663,0.8907799400509332,0.011852602958788663,0.8759319727240734,0.9961096385867735,0.9254847067937838,0.032224352784328225,0.6600973779850228,0.010260209318090855,0.8759319727240734,0.9961096385867735,0.008424814027231881,0.8528795348353326,0.9845955665666178,0.006317665856307671,0.8129866952173442,0.9517610856946891,0.004562590204690226,0.7584271485778763,0.9236698958674533,0.004822301048532854,0.7684245031349008,0.9443127750616079,1.49603974931482
LFP,5.0,2.65419527241364,1.7178332243021444,0.0175072259773763,8,0.0345765674967002,0.0018225603103106,4,0.8017511790326167,0.0073707367868280265,0.79790705578248,0.007195865926030001,0.8071127953377024,0.007626279562201918,0.801602152904396,0.9998591207230982,0.29352886337870404,0.009205739555222414,0.8197354734984948,0.0073638312609262775,0.801602152904396,0.9998591207230982,0.00761720566315942,0.8069273840651545,0.9995065297610138,0.007830446453149174,0.811192475570444,0.9993183999990347,0.007912595655392025,0.8127857101897947,0.999526071397118,0.007899218947876771,0.8125281121996575,0.998841403866628,1.98244507483956
LFP,15.0,2.57389804550316,1.7792773973046407,0.017872091221857803,6,0.0143901038340616,0.0009907403152623,4,0.8063811748195069,0.004126222430166629,0.86635465306147,0.006422464393750049,0.86635465306147,0.006422464393750049,0.8076064175471939,0.972743790858761,3.997911524414778,0.12710481135899632,0.5193072239581643,0.004158809387131371,0.8076064175471939,0.972743790858761,0.0023790974703383175,0.7059976241302318,0.9272621928496328,0.0017663891400747096,0.6406623877074354,0.9457717909310709,0.0020684334801681407,0.6761412127868669,0.9416520385202699,0.0026193044068952326,0.7255600992471398,0.8921751100051788,1.97042910026626
LFP,25.0,2.54700515002958,1.796265655273073,0.018069632664182197,6,0.01041501464306,0.0010677343584232,4,0.8825999383528681,0.008027102078992631,0.9021736329439143,0.009846852276599725,0.9021736329439143,0.009846852276599725,0.8832471707198001,0.9912592880204438,1.3027742353418807,0.04502915090165649,0.6024268828440443,0.008077520321964035,0.8832471707198001,0.9912592880204438,0.004576635323809821,0.8108319584764009,0.8974855632493886,0.002034536042587886,0.6558216337056866,0.8317035439740078,0.0022163743655435834,0.674878498805145,0.8854875478502597,0.0027328440908379902,0.7190600397603262,0.8632708153958667,1.96928472173547
LFP,35.0,2.50637971218652,1.7940554023822126,0.01800545518810845,6,0.011517446844760599,0.0011880070009722,4,0.8949228908060535,0.010118042528611175,0.9070797383255702,0.01159722390092399,0.9070797383255702,0.01159722390092399,0.8957804448555016,0.9938383105021474,0.9677620638171841,0.03256695640080787,0.5410290302090662,0.01021107256068061,0.8957804448555016,0.9938383105021474,0.005062843334251137,0.8099447375538942,0.8473237466635731,0.002276163118574881,0.6570587009371455,0.820705060834843,0.0025464121172579742,0.6818763605903926,0.8707094740002843,0.0031679147984148316,0.7272662238474122,0.8463571566964527,1.98015631777798
LFP,45.0,2.46441916605753,1.800766462936664,0.01808415231759635,6,0.0106656699600542,0.0011698030943804,4,0.8772720479957921,0.008361873066403992,0.8580216920781424,0.007069505512003606,0.8877644285803235,0.009252945055635401,0.878315681351998,0.9961249444273665,0.9065244736263742,0.029742736502181066,0.7169540498136503,0.008443622097770337,0.878315681351998,0.9961249444273665,0.006565256996523335,0.8487661271363537,0.9571737175216273,0.0023438164185974196,0.667066086677956,0.7817044243230756,0.0025455057687602863,0.6851397454499859,0.85219808212318,0.0031316399166231744,0.7280440328076154,0.8376012726427569,1.97557880365482
