cell_family,temperature_deg_c,duration_s,charge_ah,final_current_ma,voltage_limit_v,fraction_at_limit,reference_final_current_ma,taper_exponent,extrapolated_extra_time_s,extrapolated_extra_charge_ah,charge_ah_taper_corrected
SIB,5.0,3600.0,0.8814638798548883,162.422962439346,4.10022882448354,0.5573770491803278,73.33615586263049,1.3799125183237984,2727.3749685590083,0.08106542912931979,0.9625293089842081
SIB,15.0,3600.0,0.35517189623297385,127.86061862740699,4.1000380274233,0.9508196721311475,73.33615586263049,0.6290264198576113,4994.652636034931,0.13021175188855044,0.4853836481215243
SIB,25.0,23086.409349999944,1.0288313887392808,73.33615586263049,4.10022882448354,0.9961190168175937,73.33615586263049,,,0.0,1.0288313887392808
SIB,35.0,3600.0,0.16132733034887006,43.1056487735814,4.10022882448354,0.9836065573770492,73.33615586263049,,,0.0,0.16132733034887006
SIB,45.0,3599.9999996666447,0.17464197288694605,44.8377961058084,4.10022882448354,0.9836065573770492,73.33615586263049,,,0.0,0.17464197288694605
LFP,5.0,2963.8149733335013,0.10164161046021611,30.0144188796806,3.64999532395658,0.9019607843137255,29.925478154653,1.7485589028035895,68.01734794040385,0.0005767258597053229,0.10221833631992143
LFP,15.0,789.3503890001448,0.03161152765856343,29.9835813324488,3.64999532395658,0.7,29.925478154653,1.910959641547067,5.424462389097016,4.5387580148109516e-05,0.031656915238711544
LFP,25.0,210.92261400003918,0.01244939131985101,29.925478154653,3.64999532395658,0.45454545454545453,29.925478154653,,,0.0,0.01244939131985101
LFP,35.0,29.603799999749754,0.0013547310973443722,29.538917395273803,3.64999532395658,0.5,29.925478154653,,,0.0,0.0013547310973443722
LFP,45.0,27.139563000004273,0.0012440806940378147,29.913016134278802,3.64999532395658,0.5,29.925478154653,,,0.0,0.0012440806940378147
NMC,5.0,3599.9999993332312,0.36742777958015194,48.549896886885804,4.24991273020544,0.9754098360655737,29.7696001377147,2.140287927557218,1022.7425990834399,0.01106090901436104,0.37848868859451296
NMC,15.0,2197.553423333069,0.15647996943867926,29.9854564925165,4.25010343753011,0.961038961038961,29.7696001377147,1.9965225219191058,32.80847662828137,0.00027534756746777384,0.15675531700614703
NMC,25.0,1138.2430146666884,0.08836819347744879,29.7696001377147,4.25010343753011,0.9512195121951219,29.7696001377147,,,0.0,0.08836819347744879
NMC,35.0,844.3989476668648,0.06684991213250902,29.6919585360243,4.25010343753011,0.9375,29.7696001377147,,,0.0,0.06684991213250902
NMC,45.0,601.0882019999553,0.05090506535563908,29.7370113059213,4.25010343753011,0.9166666666666666,29.7696001377147,,,0.0,0.05090506535563908
LTO,5.0,1784.966611666663,0.1587048259395182,29.994402687935,2.70003037445755,0.9523809523809523,29.834309990377598,2.417232983452627,28.058458437893478,0.0002369564660889543,0.15894178240560716
LTO,15.0,1208.1280813333287,0.11228195794343136,29.9445969528248,2.70003037445755,0.9545454545454546,29.834309990377598,2.5018115824787834,20.399784253223515,0.00017264025497172478,0.11245459819840309
LTO,25.0,896.1104260000866,0.07742597668091675,29.834309990377598,2.70041186938859,0.9393939393939394,29.834309990377598,,,0.0,0.07742597668091675
LTO,35.0,711.0159409997868,0.06150685180202965,29.8675270423993,2.70022112192307,0.9259259259259259,29.834309990377598,2.5599421637019697,11.3257869207672,9.577965578962668e-05,0.06160263145781928
LTO,45.0,603.9588503336126,0.05219400349180691,29.9469781035074,2.70022112192307,0.9166666666666666,29.834309990377598,2.5510876775159828,10.150456993180114,8.59288434261015e-05,0.05227993233523301
