target,feature_set,split_type,folds,mean_rmse,mean_mae,mean_skill_vs_train_mean
target_low_temperature_penalty,capacity_only,leave_one_family_out,4,0.007452235777387719,0.005684638244749935,0.7885988849060132
target_low_temperature_penalty,capacity_ocv_slope,leave_one_family_out,4,0.007611113301292492,0.006132906117518952,0.7829465181640325
target_low_temperature_penalty,capacity_pulse,leave_one_family_out,4,0.009455619481871996,0.008269912824365786,0.6987703087540441
target_low_temperature_penalty,core_all_no_eis,leave_one_family_out,4,0.015346749906538382,0.013807395257716373,0.4781003829739939
target_low_temperature_penalty,core_all_with_eis,leave_one_family_out,4,0.015372555557241607,0.013413205885175932,0.4799513388688791
target_low_temperature_penalty,pulse_polarization,leave_one_family_out,4,0.029539250421705486,0.02292882747992448,0.1667393166409169
target_low_temperature_penalty,temperature_chemistry,leave_one_family_out,4,0.03477099595685951,0.02628048652924828,0.10942783169520853
target_low_temperature_penalty,pulse_fast_only,leave_one_family_out,4,0.0371768890298404,0.030075395062213368,-0.10061422860060526
target_low_temperature_penalty,capacity_only,leave_one_temperature_out,5,0.01126832472464075,0.009124541550729693,0.6463352021397064
target_low_temperature_penalty,capacity_ocv_slope,leave_one_temperature_out,5,0.011294628078651276,0.009052812085487227,0.6454032368435445
target_low_temperature_penalty,capacity_pulse,leave_one_temperature_out,5,0.01336303663394057,0.010048807193635604,0.6254229029423595
target_low_temperature_penalty,core_all_no_eis,leave_one_temperature_out,5,0.02323940222718534,0.01737976128535247,0.5123295373301665
target_low_temperature_penalty,core_all_with_eis,leave_one_temperature_out,5,0.025261796155191966,0.01892079519610152,0.4808130283039101
target_low_temperature_penalty,pulse_polarization,leave_one_temperature_out,5,0.025659327391339713,0.019539263765999668,0.364094500063695
target_low_temperature_penalty,pulse_fast_only,leave_one_temperature_out,5,0.02954798958402567,0.022254069221696347,0.19976067727318864
target_low_temperature_penalty,temperature_chemistry,leave_one_temperature_out,5,0.038936451586803277,0.03025275594944927,-0.05365871815370005
target_low_temperature_penalty,capacity_pulse,li_to_sodium_transfer,1,0.014527137838724622,0.012106870721877862,0.8341984700040025
target_low_temperature_penalty,capacity_only,li_to_sodium_transfer,1,0.01469719578423603,0.010335795933619156,0.8322575599729428
target_low_temperature_penalty,capacity_ocv_slope,li_to_sodium_transfer,1,0.014853824849749519,0.012029722654201012,0.8304699168052189
target_low_temperature_penalty,core_all_no_eis,li_to_sodium_transfer,1,0.020092440790917824,0.018468149707636494,0.7706804009522199
target_low_temperature_penalty,core_all_with_eis,li_to_sodium_transfer,1,0.020418701712956535,0.018286950028635108,0.7669567108039977
target_low_temperature_penalty,pulse_polarization,li_to_sodium_transfer,1,0.05809287914673651,0.03901910525100401,0.3369727504941811
target_low_temperature_penalty,pulse_fast_only,li_to_sodium_transfer,1,0.06693547369646406,0.045839674100047786,0.23605020664862675
target_low_temperature_penalty,temperature_chemistry,li_to_sodium_transfer,1,0.0803755857486672,0.052628313213481236,0.08265514932131479
target_low_temperature_penalty,capacity_pulse,sodium_to_li_transfer,1,0.015631063468657246,0.011328040470354786,0.6926867829953014
target_low_temperature_penalty,pulse_polarization,sodium_to_li_transfer,1,0.025501871266075875,0.019031249958975063,0.49862259121831276
target_low_temperature_penalty,capacity_only,sodium_to_li_transfer,1,0.027753112149495735,0.023678450201002465,0.45436225797077023
target_low_temperature_penalty,pulse_fast_only,sodium_to_li_transfer,1,0.030301595982691203,0.024589198684664585,0.40425800455038274
target_low_temperature_penalty,temperature_chemistry,sodium_to_li_transfer,1,0.06604517225306841,0.056493381874773485,-0.29847558954755127
target_low_temperature_penalty,capacity_ocv_slope,sodium_to_li_transfer,1,0.30444276944427157,0.29804309696016706,-4.985471625736791
target_low_temperature_penalty,core_all_no_eis,sodium_to_li_transfer,1,0.4363487151317162,0.417322063884811,-7.578797447267592
target_low_temperature_penalty,core_all_with_eis,sodium_to_li_transfer,1,0.4363487151317162,0.417322063884811,-7.578797447267592
target_pulse_power_proxy_vs_25c,temperature_chemistry,leave_one_family_out,4,0.256442905416018,0.20410744827006438,0.12555193206482101
target_pulse_power_proxy_vs_25c,capacity_pulse,leave_one_family_out,4,0.27323704507421076,0.21640715148286288,0.14815565868291714
target_pulse_power_proxy_vs_25c,capacity_only,leave_one_family_out,4,0.2758547155450516,0.22941361067982147,0.15080181262002554
target_pulse_power_proxy_vs_25c,pulse_polarization,leave_one_family_out,4,0.29111176247709225,0.24238781355698885,0.09206532585075253
target_pulse_power_proxy_vs_25c,pulse_fast_only,leave_one_family_out,4,0.29175005114267344,0.2400197725748071,0.09669978339369548
target_pulse_power_proxy_vs_25c,capacity_ocv_slope,leave_one_family_out,4,0.3296643365577815,0.2797343822006496,0.06462513038564144
target_pulse_power_proxy_vs_25c,core_all_no_eis,leave_one_family_out,4,0.832837272482021,0.7600966270472165,-0.9349704426024821
target_pulse_power_proxy_vs_25c,core_all_with_eis,leave_one_family_out,4,0.8710486409629947,0.8016089894631906,-1.0068898482823367
target_pulse_power_proxy_vs_25c,pulse_fast_only,leave_one_temperature_out,5,0.21594900981128537,0.17769394118162726,0.17541572808343509
target_pulse_power_proxy_vs_25c,temperature_chemistry,leave_one_temperature_out,5,0.22662913700773418,0.18628113515819292,0.344905739269762
target_pulse_power_proxy_vs_25c,capacity_ocv_slope,leave_one_temperature_out,5,0.2334727904224742,0.19531055728978997,-0.16578206591674496
target_pulse_power_proxy_vs_25c,capacity_only,leave_one_temperature_out,5,0.2339436179869633,0.1948035574587182,-0.17094294871915885
target_pulse_power_proxy_vs_25c,capacity_pulse,leave_one_temperature_out,5,0.2719174241710336,0.22409356713572232,-0.19465108969891215
target_pulse_power_proxy_vs_25c,core_all_no_eis,leave_one_temperature_out,5,0.2816180473609161,0.23506861948092955,-0.18264977880772498
target_pulse_power_proxy_vs_25c,pulse_polarization,leave_one_temperature_out,5,0.3041667350231368,0.2491502678173056,-0.019204965678182796
