cell_family,temperature_deg_c,rest_median_c,load_median_c,median_c,iqr_k,min_c,max_c,peak_rise_over_rest_k,p99_rise_over_rest_k,load_duty_fraction,activation_energy_ev,implied_resistance_error_percent
SIB,5.0,5.75788,5.71227,5.75087,0.2210599999999996,5.42104,6.52981,0.7719300000000002,0.5087799999999998,0.08265958730541813,0.3728871336058403,-4.191748017260077
SIB,15.0,15.68933,15.66437,15.6862,0.1497200000000003,15.42731,16.1416,0.4522700000000004,0.2807200000000005,0.08953936809830647,0.3728871336058403,-2.3149104950659583
SIB,25.0,25.66889,25.64752,25.66584,0.12218000000000018,25.45815,26.09346,0.4245699999999992,0.2901699999999998,0.0982848195857946,0.3728871336058403,-2.0336082373198727
SIB,35.0,35.53618,35.51643,35.53288,0.09211000000000524,35.38157,35.91118,0.375,0.23684000000000083,0.09744977917082205,0.3728871336058403,-1.68649846223633
SIB,45.0,45.50458,45.48547,45.50075,0.09174000000000149,45.33638,45.82186,0.3172800000000038,0.21406999999999954,0.10056791292001893,0.3728871336058403,-1.341667370362798
LFP,5.0,5.73332,5.70525,5.72981,0.12982999999999922,5.42806,6.47017,0.7368500000000004,0.5508800000000003,0.10656200056406881,0.3222421003902141,-3.4717406386781113
LFP,15.0,15.58951,15.57079,15.58951,0.08109999999999928,15.42108,16.02619,0.43667999999999907,0.3243899999999993,0.10795334538030087,0.3222421003902141,-1.9367077998514226
LFP,25.0,25.52229,25.51007,25.51923,0.07940999999999931,25.26877,25.83383,0.31153999999999726,0.2015899999999995,0.10982577744473586,0.3222421003902141,-1.2961364666834396
LFP,35.0,35.3421,35.32893,35.3421,0.04933999999999372,35.24012,35.58552,0.2434200000000004,0.15130999999999517,0.11006532275057948,0.3222421003902141,-0.9511769481077348
LFP,45.0,45.26758,45.25611,45.26375,0.042049999999996146,45.20259,45.48164,0.21405999999999636,0.14142999999999972,0.11000538553398741,0.3222421003902141,-0.7858630715403381
NMC,5.0,5.7649,5.74034,5.76139,0.11228000000000016,5.46315,6.33332,0.5684199999999997,0.47719999999999985,0.09772829776627816,0.2407876357303163,-2.0169081313134996
NMC,15.0,15.6862,15.67061,15.6862,0.07797000000000054,15.54584,16.14784,0.46163999999999916,0.3056800000000006,0.09947879649372186,0.2407876357303163,-1.5318635547984294
NMC,25.0,25.65362,25.64141,25.65057,0.0671999999999997,25.54977,25.93768,0.2840600000000002,0.21075000000000088,0.10003314707832181,0.2407876357303163,-0.8842189715918547
NMC,35.0,35.57565,35.56578,35.57565,0.06577999999999662,35.48355,35.86183,0.28617999999999455,0.21709999999999496,0.10167328417470221,0.2407876357303163,-0.8347066530290714
NMC,45.0,45.58485,45.57721,45.58485,0.07262999999999664,45.43577,45.83333,0.2484799999999936,0.1987799999999993,0.10233096379566871,0.2407876357303163,-0.6805705389934857
LTO,5.0,5.98245,5.95438,5.97894,0.15438999999999936,5.74034,6.49122,0.5087700000000002,0.46314999999999973,0.095430747263208,0.0905297642999974,-0.6824053529511542
LTO,15.0,15.85152,15.82657,15.85152,0.12789000000000073,15.69244,16.24765,0.3961299999999994,0.23704999999999998,0.09549305158956786,0.0905297642999974,-0.4963420599775503
LTO,25.0,25.78496,25.76359,25.7819,0.12829999999999941,25.60781,26.13927,0.3543099999999981,0.22907999999999973,0.0953638916654767,0.0905297642999974,-0.4151747679583151
LTO,35.0,35.57565,35.55591,35.57565,0.125,35.39473,35.95065,0.375,0.24012999999999352,0.09540921963873486,0.0905297642999974,-0.41198460128414327
LTO,45.0,45.47782,45.4587,45.474,0.12613999999999947,45.29816,45.82568,0.34785999999999717,0.24846999999999753,0.09702095310495558,0.0905297642999974,-0.35892290152403916
