model,fit_success,residual_nrmse,near_parameter_bound,elite_parameter_cv,n_parameters,n_starting_points,n_successful_fits,rs_ohm,rct_ohm,q_s_alpha_per_ohm,warburg_sigma_ohm_s_minus_half,alpha,member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,rct2_ohm,q2_s_alpha_per_ohm,alpha1,alpha2,fit_reliable
randles_cpe,True,0.08678779701642024,False,6.593866469547942e-05,4,6,6,0.02036380425423282,0.045781734876668874,1.2158137541877838,,0.6269998351332575,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EIS.csv,20231113_TC23LFP04_3187mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,,,,,False
randles_cpe_warburg,True,0.07410230336653417,False,3.942500726147551e-05,5,8,8,0.020949110777542832,0.035935325573915676,0.6111229367359813,0.008456667529617806,0.7397209655664254,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EIS.csv,20231113_TC23LFP04_3187mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,,,,,False
two_arc_cpe,True,0.08678779703512202,True,37.14560403859445,7,8,8,0.020263392674529136,0.00010043162891690315,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EIS.csv,20231113_TC23LFP04_3187mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,0.04578150022579788,1.2157776523389872,0.30000000000000004,0.6270041618828691,False
two_arc_cpe_warburg,True,0.07410230338200476,True,0.9365218014363591,8,10,10,0.016930615327843027,0.0040184929877427585,1.000000000000002e-08,0.008456665203672137,0.3000000000259406,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EIS.csv,20231113_TC23LFP04_3187mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,0.035935332848707806,0.6111238504599499,0.3000000000259406,0.7397206592381791,False
randles_cpe,True,0.08278149297027361,False,5.931836864822733e-05,4,6,6,0.020355489056152178,0.04491415507260439,1.2088436911887532,,0.6254608185698438,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EIS.csv,20231113_TC23LFP04_3214mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,,,,,False
randles_cpe_warburg,True,0.07234815554769441,False,5.262550840494202e-05,5,8,8,0.020901900058729633,0.03602574261708262,0.6406544500341037,0.007592096147271362,0.7287421225504676,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EIS.csv,20231113_TC23LFP04_3214mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,,,,,False
two_arc_cpe,True,0.08278149297321205,True,0.03273198470717734,7,8,8,0.020254669253330762,0.00010079860528311013,5.2538302261195e-08,,0.31799471673202606,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EIS.csv,20231113_TC23LFP04_3214mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,0.04491447199612465,1.2088933495946477,0.31799471673202606,0.6254551055714115,False
two_arc_cpe_warburg,True,0.07234815554647428,True,50.4685807434053,8,10,10,0.020801073772845034,0.00010084432697267214,1.0000000000000164e-08,0.007592121010094051,0.30000000000000004,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EIS.csv,20231113_TC23LFP04_3214mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,0.03602567416113303,0.640646219958513,0.30000000000000004,0.7287445638685796,False
randles_cpe,True,0.08206183382037563,False,9.874694799675017e-05,4,6,6,0.020368068898113715,0.045142872817937024,1.1139349178750824,,0.6346114151119943,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EIS.csv,20231113_TC23LFP04_3246mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,,,,,False
randles_cpe_warburg,True,0.07296771397482679,False,5.658220570487638e-05,5,8,8,0.020851131789539325,0.03711008910109513,0.6382921627713483,0.006974766291777512,0.7251286981646771,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EIS.csv,20231113_TC23LFP04_3246mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,,,,,False
two_arc_cpe,True,0.08206183382088382,True,10.222912481094465,7,8,8,0.020267478939211367,0.00010058570686239613,1.0000000000015052e-08,,0.30000129902296474,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EIS.csv,20231113_TC23LFP04_3246mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,0.04514286614737152,1.113934136854014,0.30000129902296474,0.6346113342194721,False
two_arc_cpe_warburg,True,0.072967713978,True,2.327358671492161,8,10,10,0.019296783043535902,0.0015543530832877418,1.3566181903837675e-08,0.006974773871738683,0.31511059152529514,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EIS.csv,20231113_TC23LFP04_3246mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,0.0371100692412777,0.6382899510768256,0.31511059152529514,0.7251293235716855,False
randles_cpe,True,0.08203672616247548,False,0.00010068784663409561,4,6,6,0.020368864963821058,0.049854479678482666,1.076921175551542,,0.6341446938308332,raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3271mV_27gradC_EIS.csv,20231113_TC23LFP04_3271mV_27gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,27.0,3.271,,,,,False
