member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,n_points,freq_min_hz,freq_max_hz,n_voigt_elements,mu,max_abs_residual_real,max_abs_residual_imag,max_abs_residual,rms_residual,worst_residual_freq_hz,worst_residual_at_frequency_extreme,kk_consistent
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EIS.csv,20231113_TC23LFP04_3187mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,32,0.05,10000.0,10,0.8152536432609112,0.03284593936235667,0.026151916798766335,0.03284593936235667,0.011815269631128705,0.15,False,False
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EIS.csv,20231113_TC23LFP04_3214mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,32,0.05,10000.0,11,0.9665327525475162,0.014046759755265436,0.013914368122596036,0.014046759755265436,0.005082690143640405,0.15,False,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EIS.csv,20231113_TC23LFP04_3246mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,32,0.05,10000.0,10,0.839844263305911,0.028951028997215654,0.023017122320817977,0.028951028997215654,0.010398164875636232,0.15,False,False
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3271mV_27gradC_EIS.csv,20231113_TC23LFP04_3271mV_27gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,27.0,3.271,32,0.05,10000.0,11,0.9724106752191309,0.010854670849863121,0.010048115863313625,0.010854670849863121,0.004023382603253704,0.15,False,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3279mV_26gradC_EIS.csv,20231113_TC23LFP04_3279mV_26gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,26.0,3.279,32,0.05,10000.0,11,0.9570200828190996,0.01461024086564312,0.013628079914543508,0.01461024086564312,0.005476151594282103,0.15,False,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3287mV_25gradC_EIS.csv,20231113_TC23LFP04_3287mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.287,32,0.05,10000.0,12,0.967997295637399,0.0072596828493649655,0.009296379581785901,0.009296379581785901,0.003371636360155228,0.1,True,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3297mV_25gradC_EIS.csv,20231113_TC23LFP04_3297mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.297,32,0.05,10000.0,11,0.9713537455305759,0.009734995344992737,0.011249673731549042,0.011249673731549042,0.004027120935559711,0.1,True,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3316mV_25gradC_EIS.csv,20231113_TC23LFP04_3316mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.316,32,0.05,10000.0,11,0.9711318757469157,0.013630373045306086,0.01619902054404323,0.01619902054404323,0.005635931804489158,0.1,True,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3321mV_24gradC_EIS.csv,20231113_TC23LFP04_3321mV_24gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,24.0,3.321,32,0.05,10000.0,12,0.9700332963899004,0.005464372178747403,0.007662850420902548,0.007662850420902548,0.0026246634755671063,0.1,True,True
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3455mV_25gradC_EIS.csv,20231113_TC23LFP04_3455mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.455,32,0.05,10000.0,12,0.97964376695588,0.00898706000464211,0.006488268510955662,0.00898706000464211,0.0037103981478333976,0.15,False,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2343mV_25gradC_EIS.csv,20231113_TC23LTO04_2343mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.343,32,0.05,10000.0,12,0.6015714964996877,0.0078867284263594,0.0057359535727976065,0.0078867284263594,0.002955247355695708,0.15,False,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2345mV_25gradC_EIS.csv,20231113_TC23LTO04_2345mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.345,32,0.05,10000.0,11,0.5312928450151138,0.009370036291588866,0.005650151961040566,0.009370036291588866,0.003096886070112277,0.15,False,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2347mV_25gradC_EIS.csv,20231113_TC23LTO04_2347mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.347,32,0.05,10000.0,15,0.6034751236217384,0.0024480274762468703,0.005684089645631088,0.005684089645631088,0.0015136839000406807,6745.25,True,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2363mV_25gradC_EIS.csv,20231113_TC23LTO04_2363mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.363,32,0.05,10000.0,15,0.5735913157565524,0.002859369513016621,0.005776158815738139,0.005776158815738139,0.0016541896802653453,6745.25,True,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2394mV_27gradC_EIS.csv,20231113_TC23LTO04_2394mV_27gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,27.0,2.394,32,0.05,10000.0,13,0.6188768564975795,0.006195426124558039,0.00571282290508185,0.006195426124558039,0.0022527241880373524,0.15,False,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2429mV_26gradC_EIS.csv,20231113_TC23LTO04_2429mV_26gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,26.0,2.429,32,0.05,10000.0,16,0.5820987928009049,0.0014480368712716833,0.00557206108894393,0.00557206108894393,0.0013406716885431258,6745.25,True,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2472mV_25gradC_EIS.csv,20231113_TC23LTO04_2472mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.472,32,0.05,10000.0,15,0.5722278110839648,0.001512837606352178,0.005728040671319335,0.005728040671319335,0.0014659045357651927,6745.25,True,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2516mV_25gradC_EIS.csv,20231113_TC23LTO04_2516mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.516,32,0.05,10000.0,15,0.5916722858069698,0.0016894610597370599,0.0057962050723617325,0.0057962050723617325,0.0014691276243969566,6745.25,True,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2580mV_25gradC_EIS.csv,20231113_TC23LTO04_2580mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.58,32,0.05,10000.0,15,0.6000582530768478,0.0018925277741723382,0.005884984431059626,0.005884984431059626,0.0015804098790677418,6745.25,True,True
raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2686mV_25gradC_EIS.csv,20231113_TC23LTO04_2686mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.686,32,0.05,10000.0,14,0.7942119835966621,0.004010445571184361,0.005842516595263721,0.005842516595263721,0.0018723776120792128,6745.25,True,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3494mV_25gradC_EIS.csv,20231113_TC23NMC04_3494mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.494,32,0.05,10000.0,9,0.9110376471937368,0.00939717057630283,0.00540634297933912,0.00939717057630283,0.003597842160614208,0.15,False,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3575mV_25gradC_EIS.csv,20231113_TC23NMC04_3575mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.575,32,0.05,10000.0,9,0.8177879731499454,0.01611451102660574,0.011608933046298975,0.01611451102660574,0.005727115795975568,0.15,False,True
