cell_family,chemistry_type,pulse_direction,abs_c_rate,soc_percent_round,n,median_r_fast_mohm,median_r_100ms_mohm,median_r_1s_mohm
LFP,lithium-ion,charge,1.0,0.0,6,58.395,65.58,75.045
LFP,lithium-ion,charge,1.0,10.0,6,56.345,60.480000000000004,66.59
LFP,lithium-ion,charge,1.0,20.0,6,56.160000000000004,60.29,66.84
LFP,lithium-ion,charge,1.0,30.0,6,56.154999999999994,60.36,66.90499999999999
LFP,lithium-ion,charge,1.0,40.0,6,56.355000000000004,60.36,66.845
LFP,lithium-ion,charge,1.0,50.0,6,56.544999999999995,60.8,67.41
LFP,lithium-ion,charge,1.0,60.0,6,56.795,61.125,67.8
LFP,lithium-ion,charge,1.0,70.0,6,54.440000000000005,60.42,67.54
LFP,lithium-ion,charge,1.0,80.0,6,54.449999999999996,60.545,67.605
LFP,lithium-ion,charge,1.0,90.0,6,54.449999999999996,60.735,67.67
LFP,lithium-ion,charge,1.0,100.0,3,52.290000000000006,58.25,63.85
LFP,lithium-ion,charge,2.0,0.0,6,57.76,63.855,72.725
LFP,lithium-ion,charge,2.0,10.0,6,55.504999999999995,59.43,65.38
LFP,lithium-ion,charge,2.0,20.0,6,55.459999999999994,59.405,65.69500000000001
LFP,lithium-ion,charge,2.0,30.0,6,55.495000000000005,59.43,65.82499999999999
LFP,lithium-ion,charge,2.0,40.0,6,55.559999999999995,59.465,65.92
LFP,lithium-ion,charge,2.0,50.0,6,55.84,59.85,66.33500000000001
LFP,lithium-ion,charge,2.0,60.0,6,56.065000000000005,60.2,66.87
LFP,lithium-ion,charge,2.0,70.0,6,53.970000000000006,59.56,66.525
LFP,lithium-ion,charge,2.0,80.0,6,53.970000000000006,59.69,66.715
LFP,lithium-ion,charge,2.0,90.0,6,53.964999999999996,59.815,66.64999999999999
LFP,lithium-ion,charge,2.0,100.0,3,51.78,57.37,63.089999999999996
LFP,lithium-ion,charge,3.0,0.0,6,56.95,62.39,71.66
LFP,lithium-ion,charge,3.0,10.0,6,54.769999999999996,58.48499999999999,64.555
LFP,lithium-ion,charge,3.0,20.0,6,54.699999999999996,58.445,64.72
LFP,lithium-ion,charge,3.0,30.0,6,54.69499999999999,58.425000000000004,64.96000000000001
LFP,lithium-ion,charge,3.0,40.0,6,54.78,58.635,65.275
LFP,lithium-ion,charge,3.0,50.0,6,54.805,58.575,65.38
LFP,lithium-ion,charge,3.0,60.0,6,55.330000000000005,59.375,66.415
LFP,lithium-ion,charge,3.0,70.0,6,53.32,58.595,65.72
LFP,lithium-ion,charge,3.0,80.0,6,53.43,58.765,66.02
LFP,lithium-ion,charge,3.0,90.0,6,53.324999999999996,59.005,66.125
LFP,lithium-ion,charge,3.0,100.0,3,51.22,56.64,64.96000000000001
LFP,lithium-ion,discharge,1.0,0.0,6,57.535000000000004,64.53,74.475
LFP,lithium-ion,discharge,1.0,10.0,6,55.684999999999995,59.405,65.44500000000001
LFP,lithium-ion,discharge,1.0,20.0,6,55.46,59.4,65.57
LFP,lithium-ion,discharge,1.0,30.0,6,55.265,59.275,65.38
LFP,lithium-ion,discharge,1.0,40.0,6,55.27,59.52499999999999,65.44500000000001
LFP,lithium-ion,discharge,1.0,50.0,6,56.095,59.97,65.76
LFP,lithium-ion,discharge,1.0,60.0,6,56.415,60.35,66.525
LFP,lithium-ion,discharge,1.0,70.0,6,53.93000000000001,59.395,66.275
LFP,lithium-ion,discharge,1.0,80.0,6,54.120000000000005,59.53,66.46
LFP,lithium-ion,discharge,1.0,90.0,6,53.995000000000005,59.65,66.64999999999999
LFP,lithium-ion,discharge,1.0,100.0,3,51.769999999999996,57.24,62.839999999999996
LFP,lithium-ion,discharge,2.0,0.0,6,56.279999999999994,62.62999999999999,72.09500000000001
LFP,lithium-ion,discharge,2.0,10.0,6,54.599999999999994,57.980000000000004,63.54
LFP,lithium-ion,discharge,2.0,20.0,6,54.540000000000006,57.78,63.53500000000001
LFP,lithium-ion,discharge,2.0,30.0,6,54.41,57.84,63.44
LFP,lithium-ion,discharge,2.0,40.0,6,54.695,58.065,63.345
LFP,lithium-ion,discharge,2.0,50.0,6,54.949999999999996,58.41499999999999,63.75500000000001
LFP,lithium-ion,discharge,2.0,60.0,6,54.925000000000004,58.77,64.68
LFP,lithium-ion,discharge,2.0,70.0,6,53.235,58.065,64.52
LFP,lithium-ion,discharge,2.0,80.0,6,53.43,58.255,64.96499999999999
LFP,lithium-ion,discharge,2.0,90.0,6,53.330000000000005,58.32,65.095
LFP,lithium-ion,discharge,2.0,100.0,3,51.21,56.160000000000004,62.010000000000005
LFP,lithium-ion,discharge,3.0,0.0,6,55.275000000000006,61.464999999999996,77.44000000000001
LFP,lithium-ion,discharge,3.0,10.0,6,53.754999999999995,56.93,62.285
LFP,lithium-ion,discharge,3.0,20.0,6,53.745000000000005,56.940000000000005,62.285
LFP,lithium-ion,discharge,3.0,30.0,6,53.68,56.855000000000004,62.135
LFP,lithium-ion,discharge,3.0,40.0,6,53.745000000000005,56.815000000000005,61.795
LFP,lithium-ion,discharge,3.0,50.0,6,53.620000000000005,56.730000000000004,61.86
LFP,lithium-ion,discharge,3.0,60.0,6,54.15,57.47,63.07
LFP,lithium-ion,discharge,3.0,70.0,6,52.830000000000005,56.88,62.90000000000001
LFP,lithium-ion,discharge,3.0,80.0,6,52.574999999999996,56.98499999999999,63.49
LFP,lithium-ion,discharge,3.0,90.0,6,52.434999999999995,57.195,64.3
LFP,lithium-ion,discharge,3.0,100.0,3,50.55,55.410000000000004,62.07
LTO,lithium-ion,charge,1.0,0.0,6,28.71,30.475,34.144999999999996
LTO,lithium-ion,charge,1.0,10.0,6,28.1,28.635,31.16
LTO,lithium-ion,charge,1.0,20.0,6,28.045,28.555,30.655
LTO,lithium-ion,charge,1.0,30.0,6,28.174999999999997,28.685000000000002,30.59
LTO,lithium-ion,charge,1.0,40.0,6,28.305,28.745,30.655
LTO,lithium-ion,charge,1.0,50.0,6,28.555,28.935000000000002,30.78
LTO,lithium-ion,charge,1.0,60.0,6,28.555,29.195,30.975
LTO,lithium-ion,charge,1.0,70.0,6,28.555,29.185,31.04
LTO,lithium-ion,charge,1.0,80.0,6,28.495,29.195,31.035
LTO,lithium-ion,charge,1.0,90.0,9,28.36,29.13,31.29
LTO,lithium-ion,charge,2.0,0.0,6,28.725,30.25,36.5
LTO,lithium-ion,charge,2.0,10.0,6,28.069999999999997,28.7,30.905
LTO,lithium-ion,charge,2.0,20.0,6,28.014999999999997,28.525000000000002,30.555
LTO,lithium-ion,charge,2.0,30.0,6,28.174999999999997,28.615000000000002,30.435
LTO,lithium-ion,charge,2.0,40.0,6,28.305,28.71,30.56
LTO,lithium-ion,charge,2.0,50.0,6,28.525000000000002,29.0,30.59
LTO,lithium-ion,charge,2.0,60.0,6,28.365000000000002,28.935000000000002,30.465
LTO,lithium-ion,charge,2.0,70.0,6,28.46,29.03,30.525
LTO,lithium-ion,charge,2.0,80.0,6,28.395,28.995,30.62
LTO,lithium-ion,charge,2.0,90.0,9,28.11,28.87,30.71
LTO,lithium-ion,charge,3.0,0.0,6,28.819999999999997,30.125,37.82
LTO,lithium-ion,charge,3.0,10.0,6,28.150000000000002,28.725,30.805
LTO,lithium-ion,charge,3.0,20.0,6,28.025000000000002,28.535,30.445
LTO,lithium-ion,charge,3.0,30.0,6,28.195,28.595000000000002,30.419999999999998
LTO,lithium-ion,charge,3.0,40.0,6,28.235,28.7,30.465
LTO,lithium-ion,charge,3.0,50.0,6,28.555,28.995,30.675
LTO,lithium-ion,charge,3.0,60.0,6,28.725,29.295,30.93
LTO,lithium-ion,charge,3.0,70.0,6,28.75,29.655,31.224999999999998
LTO,lithium-ion,charge,3.0,80.0,6,28.725,29.785,31.46
LTO,lithium-ion,charge,3.0,90.0,9,28.41,29.680000000000003,31.97
LTO,lithium-ion,discharge,1.0,0.0,6,28.52,29.855,33.83
LTO,lithium-ion,discharge,1.0,10.0,6,27.880000000000003,28.560000000000002,30.715
LTO,lithium-ion,discharge,1.0,20.0,6,27.92,28.299999999999997,30.335
LTO,lithium-ion,discharge,1.0,30.0,6,28.115000000000002,28.62,30.335
LTO,lithium-ion,discharge,1.0,40.0,6,28.174999999999997,28.555,30.465
LTO,lithium-ion,discharge,1.0,50.0,6,28.43,28.805,30.465
LTO,lithium-ion,discharge,1.0,60.0,6,28.555,29.13,30.904999999999998
LTO,lithium-ion,discharge,1.0,70.0,6,28.62,29.38,31.16
LTO,lithium-ion,discharge,1.0,80.0,6,28.43,29.315,31.22
LTO,lithium-ion,discharge,1.0,90.0,9,28.23,29.0,31.54
LTO,lithium-ion,discharge,2.0,0.0,6,28.665,29.825,33.1
LTO,lithium-ion,discharge,2.0,10.0,6,28.025000000000002,28.630000000000003,30.62
LTO,lithium-ion,discharge,2.0,20.0,6,28.02,28.525000000000002,30.175
LTO,lithium-ion,discharge,2.0,30.0,6,28.174999999999997,28.615000000000002,30.205
LTO,lithium-ion,discharge,2.0,40.0,6,28.335,28.645,30.24
LTO,lithium-ion,discharge,2.0,50.0,6,28.525000000000002,28.87,30.43
