quadrature,cell_family,shortfall_total_wh,truncation_share_percent,relaxed_shift_share_percent,polarisation_share_percent,dissipation_upper_share_percent,polarisation_loss_5c_wh,polarisation_loss_25c_wh,mean_overpotential_5c_mv,energy_efficiency_5c,identity_closure_wh
left,SIB,1.1694208526539747,58.97711047207318,15.066471498282889,25.956418029644045,41.022889527926935,0.5908432485535621,0.28730348351286866,460.14076313696376,0.8550657066301484,-1.3322676295501878e-15
mid,SIB,1.1694208526539747,58.49618294677922,15.181265271529718,26.322551781691157,41.50381705322088,0.5779872760219044,0.27016586653616764,450.1287049031316,0.857770755099629,-1.1102230246251565e-15
right,SIB,1.1694208526539747,58.01525542148529,15.29605904477647,26.688685533738273,41.98474457851474,0.5651313034902468,0.2530282495594667,440.1166466692996,0.8604929730317125,-4.440892098500626e-16
left,LFP,0.6757366195229144,33.912804789061994,11.411856856245034,54.675338354693025,66.08719521093806,0.6841537346717149,0.31469245156099684,398.26551553026735,0.8767006702772745,-3.3306690738754696e-16
mid,LFP,0.6757366195229144,33.36778949383181,11.689280957782652,54.942929548385614,66.63221050616826,0.6798048215770037,0.3085353267798863,395.7338884589154,0.8773883395215765,-4.440892098500626e-16
right,LFP,0.6757366195229144,32.82277419860162,11.966705059320534,55.21052074207819,67.17722580139872,0.6754559084822924,0.3023782019987758,393.20226138756334,0.8780770884050824,-2.220446049250313e-15
left,NMC,0.4154121765128611,42.106286496142296,11.80499218480801,46.08872131904972,57.893713503857725,0.34546838538849667,0.15401022503008518,219.87291361600606,0.9423146985978216,-1.1102230246251565e-16
mid,NMC,0.4154121765128611,41.322231642447576,11.915029374247824,46.76273898330455,58.677768357552374,0.3372345103752123,0.1429763985676387,214.63247435704181,0.9436120409627264,2.220446049250313e-16
right,NMC,0.4154121765128611,40.538176788752835,12.025066563688068,47.43675664755943,59.4618232112475,0.32900063536192803,0.13194257210519206,209.39203509807763,0.9449129605139621,-1.3877787807814457e-15
left,LTO,0.0873083848247993,62.159143359235316,-1.6836916209915358,39.52454826175689,37.84085664076535,0.12097215751786619,0.08646391282122796,80.55504671313449,0.9669058258151938,-5.828670879282072e-16
mid,LTO,0.0873083848247993,61.52040814321317,-1.7175552805475016,40.197147137334184,38.47959185678668,0.11803825162256631,0.08294277171131179,78.60136636802767,0.967682511309405,1.249000902703301e-16
right,LTO,0.0873083848247993,60.881672927191055,-1.75141894010245,40.8697460129116,39.11832707280915,0.1151043457272665,0.07942163060139557,76.64768602292087,0.9684604455815109,-1.8041124150158794e-16
