cell_id,cell_family,chemistry_type,temperature_deg_c,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,usable_energy_wh,capacity_ah,mean_ocv_v,n_segments,energy_retention_vs_25c
TC23LFP09,LFP,lithium-ion,5.0,1,central,0.2,0.8,3.360406129232571,1.0329571651276288,3.2531901501742286,59,0.9447613863273803
TC23LFP09,LFP,lithium-ion,15.0,1,central,0.2,0.8,3.50819134512279,1.0722872161980697,3.2716892123112284,60,0.9863104610741938
TC23LFP09,LFP,lithium-ion,25.0,1,central,0.2,0.8,3.5568834394213034,1.0841649760593874,3.280758412167744,60,1.0
TC23LFP09,LFP,lithium-ion,35.0,1,central,0.2,0.8,3.5512134775157196,1.0803264616095354,3.287166931940171,60,0.9984059185514085
TC23LFP09,LFP,lithium-ion,45.0,1,central,0.2,0.8,3.5700202007178556,1.0850710189134238,3.290126421973965,60,1.0036933347747514
TC23LFP09,LFP,lithium-ion,5.0,5,central,0.2,0.8,3.360362051639497,1.0329571651276288,3.253147478432402,59,0.9447705977617123
TC23LFP09,LFP,lithium-ion,15.0,5,central,0.2,0.8,3.5081388506930935,1.0722872161980697,3.2716402583407445,60,0.9863182562079389
TC23LFP09,LFP,lithium-ion,25.0,5,central,0.2,0.8,3.5568021058240413,1.0841649760593874,3.280683391797392,60,1.0
TC23LFP09,LFP,lithium-ion,35.0,5,central,0.2,0.8,3.5511214413184717,1.0803264616095354,3.287081739316213,60,0.9984028730481609
TC23LFP09,LFP,lithium-ion,45.0,5,central,0.2,0.8,3.5699243027978445,1.0850710189134238,3.290038050520755,60,1.003689324450274
TC23LFP09,LFP,lithium-ion,5.0,11,central,0.2,0.8,3.3601902959617087,1.0329571651276288,3.25298119970289,59,0.9448094778870486
TC23LFP09,LFP,lithium-ion,15.0,11,central,0.2,0.8,3.5079381741376454,1.0722872161980697,3.2714531119931327,60,0.9863528380372432
TC23LFP09,LFP,lithium-ion,25.0,11,central,0.2,0.8,3.556473950151691,1.0841649760593874,3.280380709455687,60,1.0
TC23LFP09,LFP,lithium-ion,35.0,11,central,0.2,0.8,3.550772342383298,1.0803264616095354,3.286758596873503,60,0.9983968369097291
TC23LFP09,LFP,lithium-ion,45.0,11,central,0.2,0.8,3.5695686295547384,1.0850710189134238,3.2897102843264054,60,1.003681927545818
TC23LFP09,LFP,lithium-ion,5.0,1,early_discharge,0.0,0.5,2.8227057945628156,0.8578611354371883,3.2903996715415222,49,0.963795841410307
TC23LFP09,LFP,lithium-ion,15.0,1,early_discharge,0.0,0.5,2.892198018006378,0.8757134789052274,3.3026764398616364,49,0.9875235412982208
TC23LFP09,LFP,lithium-ion,25.0,1,early_discharge,0.0,0.5,2.9287383004603913,0.8854019049788201,3.3078066810302826,49,1.0
TC23LFP09,LFP,lithium-ion,35.0,1,early_discharge,0.0,0.5,2.9223826898899876,0.882266840939131,3.312356948045569,49,0.9978299151653787
TC23LFP09,LFP,lithium-ion,45.0,1,early_discharge,0.0,0.5,2.937238403723579,0.8861206014223743,3.314715769098831,49,1.0029023089095572
TC23LFP09,LFP,lithium-ion,5.0,5,early_discharge,0.0,0.5,2.8226368400867603,0.8578611354371883,3.290319292573288,49,0.963791486438503
TC23LFP09,LFP,lithium-ion,15.0,5,early_discharge,0.0,0.5,2.8921477425974236,0.8757134789052274,3.3026190263128967,49,0.9875260367366472
TC23LFP09,LFP,lithium-ion,25.0,5,early_discharge,0.0,0.5,2.92867998919273,0.8854019049788201,3.3077408338529155,49,1.0
TC23LFP09,LFP,lithium-ion,35.0,5,early_discharge,0.0,0.5,2.9223230543452696,0.882266840939131,3.3122893492684096,49,0.9978294197826603
TC23LFP09,LFP,lithium-ion,45.0,5,early_discharge,0.0,0.5,2.9371835088555356,0.8861206014223743,3.3146538143654465,49,1.0029035332280019
TC23LFP09,LFP,lithium-ion,5.0,11,early_discharge,0.0,0.5,2.82248786622129,0.8578611354371883,3.290145633403655,49,0.9637533185154306
TC23LFP09,LFP,lithium-ion,15.0,11,early_discharge,0.0,0.5,2.8920963426533377,0.8757134789052274,3.30256033718836,49,0.9875214986947141
TC23LFP09,LFP,lithium-ion,25.0,11,early_discharge,0.0,0.5,2.9286413981630295,0.8854019049788201,3.3076972492926586,49,1.0
TC23LFP09,LFP,lithium-ion,35.0,11,early_discharge,0.0,0.5,2.9223012790903096,0.882266840939131,3.3122646698816975,49,0.9978351330153645
TC23LFP09,LFP,lithium-ion,45.0,11,early_discharge,0.0,0.5,2.937159671510291,0.8861206014223743,3.3146269163418327,49,1.0029086092112898
TC23LFP09,LFP,lithium-ion,5.0,1,full,0.0,1.0,5.540024427291063,1.7178332243021444,3.1934046384358603,105,0.9481986451413131
TC23LFP09,LFP,lithium-ion,15.0,1,full,0.0,1.0,5.77300720248217,1.7792773973046407,3.211749207931819,105,0.9880746338985491
TC23LFP09,LFP,lithium-ion,25.0,1,full,0.0,1.0,5.842683340330459,1.796265655273073,3.216324905581123,105,1.0
TC23LFP09,LFP,lithium-ion,35.0,1,full,0.0,1.0,5.842993854596823,1.7940554023822126,3.21975259175192,105,1.0000531458318511
TC23LFP09,LFP,lithium-ion,45.0,1,full,0.0,1.0,5.866736137070726,1.800766462936664,3.2185954979041207,105,1.004116738036141
TC23LFP09,LFP,lithium-ion,5.0,5,full,0.0,1.0,5.539487297565625,1.7178332243021444,3.193475390092645,105,0.9483214134289107
TC23LFP09,LFP,lithium-ion,15.0,5,full,0.0,1.0,5.771817464144589,1.7792773973046407,3.2117694010662117,105,0.9880947101470313
TC23LFP09,LFP,lithium-ion,25.0,5,full,0.0,1.0,5.8413605546837974,1.796265655273073,3.216333200811744,105,1.0
TC23LFP09,LFP,lithium-ion,35.0,5,full,0.0,1.0,5.841665814117826,1.7940554023822126,3.2197644291065637,105,1.0000522582763334
TC23LFP09,LFP,lithium-ion,45.0,5,full,0.0,1.0,5.865499722813647,1.800766462936664,3.218634612641205,105,1.0041324564549425
TC23LFP09,LFP,lithium-ion,5.0,11,full,0.0,1.0,5.5376381830793315,1.7178332243021444,3.193927173025326,105,0.9487354060498939
TC23LFP09,LFP,lithium-ion,15.0,11,full,0.0,1.0,5.767958292347849,1.7792773973046407,3.212429369006227,105,0.9881949798183653
TC23LFP09,LFP,lithium-ion,25.0,11,full,0.0,1.0,5.836862572817386,1.796265655273073,3.216830952787032,105,1.0
TC23LFP09,LFP,lithium-ion,35.0,11,full,0.0,1.0,5.836852680184283,1.7940554023822126,3.220339923869464,105,0.9999983051454475
TC23LFP09,LFP,lithium-ion,45.0,11,full,0.0,1.0,5.860454302187745,1.800766462936664,3.2191919688117356,105,1.0040418510931244
TC23LFP09,LFP,lithium-ion,5.0,1,late_discharge,0.5,1.0,2.717318632728247,0.8599720888649559,3.1085339844684063,56,0.9325222663943626
TC23LFP09,LFP,lithium-ion,15.0,1,late_discharge,0.5,1.0,2.8782591199147367,0.9025731780841512,3.1423386042566857,55,0.9877533997837783
TC23LFP09,LFP,lithium-ion,25.0,1,late_discharge,0.5,1.0,2.9139450398700677,0.9108637502942529,3.136278352063109,56,1.0
TC23LFP09,LFP,lithium-ion,35.0,1,late_discharge,0.5,1.0,2.9206111647068367,0.9117885614430816,3.138723779994978,56,1.0022876632007673
TC23LFP09,LFP,lithium-ion,45.0,1,late_discharge,0.5,1.0,2.926614848180841,0.9134760584199098,3.1466733714187716,55,1.0043479915157694
TC23LFP09,LFP,lithium-ion,5.0,5,late_discharge,0.5,1.0,2.7168504574788646,0.8599720888649559,3.108736975422083,56,0.9327663629399104
TC23LFP09,LFP,lithium-ion,15.0,5,late_discharge,0.5,1.0,2.8771119724640295,0.9025731780841512,3.1422872806134854,55,0.9877883646258885
TC23LFP09,LFP,lithium-ion,25.0,5,late_discharge,0.5,1.0,2.9126805654910672,0.9108637502942529,3.1363515219007176,56,1.0
TC23LFP09,LFP,lithium-ion,35.0,5,late_discharge,0.5,1.0,2.9193427597725568,0.9117885614430816,3.138805123964949,56,1.0022873068747813
TC23LFP09,LFP,lithium-ion,45.0,5,late_discharge,0.5,1.0,2.925416595072477,0.9134760584199098,3.146543155013222,55,1.0043726146053584
TC23LFP09,LFP,lithium-ion,5.0,11,late_discharge,0.5,1.0,2.715150316858042,0.8599720888649559,3.1097360201942874,56,0.9336120445449749
TC23LFP09,LFP,lithium-ion,15.0,11,late_discharge,0.5,1.0,2.87327771420535,0.9025731780841512,3.1431134341915414,55,0.9879845932099166
TC23LFP09,LFP,lithium-ion,25.0,11,late_discharge,0.5,1.0,2.908221174654356,0.9108637502942529,3.1373229433446093,56,1.0
TC23LFP09,LFP,lithium-ion,35.0,11,late_discharge,0.5,1.0,2.9145514010939735,0.9117885614430816,3.13990577110876,56,1.0021766660991216
TC23LFP09,LFP,lithium-ion,45.0,11,late_discharge,0.5,1.0,2.9203729232823026,0.9134760584199098,3.147287848746036,55,1.0041784128160027
TC23LTO09,LTO,lithium-ion,5.0,1,central,0.2,0.8,2.176907242466849,0.9025263749229556,2.4120144180177068,60,0.9845339716010177
TC23LTO09,LTO,lithium-ion,15.0,1,central,0.2,0.8,2.192364346031791,0.9094928468478096,2.4105361251599144,60,0.9915246431672512
TC23LTO09,LTO,lithium-ion,25.0,1,central,0.2,0.8,2.211104243489772,0.9182560064738754,2.4079387805043955,60,1.0
TC23LTO09,LTO,lithium-ion,35.0,1,central,0.2,0.8,2.2080131557769884,0.9176313489989474,2.4062093368169997,60,0.9986020162903287
TC23LTO09,LTO,lithium-ion,45.0,1,central,0.2,0.8,2.2336098081054065,0.9295931535239366,2.4027822406864634,60,1.0101784276711052
TC23LTO09,LTO,lithium-ion,5.0,5,central,0.2,0.8,2.177000780985363,0.9025263749229556,2.412118057473973,60,0.9845294823331858
TC23LTO09,LTO,lithium-ion,15.0,5,central,0.2,0.8,2.192463226174209,0.9094928468478096,2.410644851215262,60,0.9915222373612705
