cell_family,cell_id,pulse_direction,r_1s_1c_mohm,r_1s_2c_mohm,r_1s_3c_mohm,ratio_3c_over_1c
LFP,TC23LFP01,charge,52.15,51.96,52.06,0.9982742090124641
LFP,TC23LFP01,discharge,52.019999999999996,51.83,51.6,0.991926182237601
LFP,TC23LFP02,charge,67.29,66.27,65.85000000000001,0.9786000891662952
LFP,TC23LFP02,discharge,65.76,63.66,62.07,0.9438868613138686
LFP,TC23LFP03,charge,85.62,82.05,80.49000000000001,0.940084092501752
LFP,TC23LFP03,discharge,84.34,80.02,77.22,0.9155797960635522
LTO,TC23LTO01,charge,26.58,26.259999999999998,27.575,1.0374341610233258
LTO,TC23LTO01,discharge,26.83,26.64,26.75,0.9970182631382781
LTO,TC23LTO02,charge,31.16,30.71,32.01,1.0272785622593068
LTO,TC23LTO02,discharge,31.29,31.16,31.41,1.0038350910834133
LTO,TC23LTO03,charge,31.29,30.88,32.059999999999995,1.0246085011185682
LTO,TC23LTO03,discharge,31.419999999999998,31.29,31.55,1.0041374920432846
NMC,TC23NMC01,charge,42.09,41.705,41.83,0.993822760750772
NMC,TC23NMC01,discharge,41.83,41.58,41.32,0.9878077934496773
NMC,TC23NMC02,charge,39.04,38.760000000000005,38.830000000000005,0.9946209016393445
NMC,TC23NMC02,discharge,38.79,38.66,38.620000000000005,0.9956174271719517
NMC,TC23NMC03,charge,41.980000000000004,41.625,41.72,0.9938065745593139
NMC,TC23NMC03,discharge,41.72,41.4,40.96,0.9817833173537872
SIB,TC23SIB01,charge,88.99,85.94,82.595,0.9281379930329251
SIB,TC23SIB01,discharge,89.63,85.05,80.77,0.9011491688050876
SIB,TC23SIB02,charge,88.87,85.695,82.37,0.9268594576347474
SIB,TC23SIB02,discharge,89.38,84.61,80.47999999999999,0.9004251510405011
SIB,TC23SIB03,charge,92.07,88.0,84.03999999999999,0.9127837514934289
SIB,TC23SIB03,discharge,92.96000000000001,87.5,82.66,0.8891996557659207
