timepoint,temperature_deg_c,sib_resistance_mohm,graphite_mean_resistance_mohm,sib_to_graphite_mean_resistance_ratio,li_reference_mean_resistance_mohm,li_reference_max_resistance_mohm,sib_to_li_mean_resistance_ratio,sib_to_max_li_resistance_ratio,sib_growth_vs_25c,li_reference_mean_growth_vs_25c,sib_minus_li_mean_growth,sib_rank_by_resistance_highest_is_1
100ms,5.0,257.8307100397398,130.390252036115,1.9773771889659886,96.97286921070393,168.4780649034482,2.6587922182597468,1.5303518009154369,2.9123563218390736,1.937410235848682,0.9749460859903916,1
100ms,15.0,156.1993645430721,86.58803518551011,1.8039370475195973,66.075858057985,116.3452297257735,2.3639400097687577,1.3425506564492165,1.7643678160919871,1.3437208276277148,0.4206469884642723,1
100ms,25.0,88.52993299835191,58.424535685009104,1.51528689035123,46.494813429470604,76.1648006620131,1.9040819065258894,1.1623470714669102,1.0,1.0,0.0,1
100ms,35.0,56.8575862791147,41.7680405916265,1.361270135580966,34.881823391521095,52.768601460323296,1.6300061393274345,1.0774889746105154,0.6422413793103534,0.7938852128703747,-0.1516438335600213,1
100ms,45.0,40.9578138296975,34.20263803127715,1.1975045255936976,29.626280028081766,41.3248083725413,1.38248250508923,0.9911192681273835,0.4626436781609219,0.7042301112027469,-0.24158643304182503,2
10s,5.0,296.75335299591546,166.11899008071438,1.7863903028288823,124.43742439957784,217.3049154113103,2.3847596848599046,1.365608101566533,2.9531645569619775,1.8658064916124504,1.0873580653495272,1
10s,15.0,174.7702987639862,112.84411655349996,1.5487763483098982,86.63187215747854,150.6766089891198,2.017390302339196,1.1599033183485445,1.7392405063290515,1.3282563151627984,0.41098419116625307,1
10s,25.0,100.4865618803159,78.5139599567678,1.2798559891215127,62.388674491139135,102.8669845335027,1.610653899925181,0.9768592161617071,1.0,1.0,0.0,2
10s,35.0,67.1606388263364,57.852113553410646,1.1609020777491883,47.72395526476794,73.2402757617963,1.4072731074726643,0.916990523694462,0.6683544303797336,0.802471781510372,-0.13411735113063838,2
10s,45.0,51.6424609157051,47.42601756417855,1.0889057013024699,40.264564629587596,58.236191491155,1.2825784009038232,0.886776068169716,0.5139240506328959,0.7009822858856688,-0.18705823525277288,2
1s,5.0,286.5774986282914,143.99525535486,1.99018709277645,106.89063804935746,188.94973920492112,2.681034596275516,1.5166863941393975,3.146648044692823,1.967230890689244,1.1794171540035792,1
1s,15.0,164.8488407555576,94.21700691883835,1.7496718071034016,72.0096058396961,127.7890228135623,2.2892618121328865,1.2900078357752505,1.8100558659218644,1.3549826758629904,0.45507319005887403,1
1s,25.0,91.0738965902579,63.00192618029125,1.4455732088195796,50.26700872522624,83.15822977121461,1.8118025898078343,1.0951880149543938,1.0,1.0,0.0,1
1s,35.0,58.5111626138574,45.13747514986285,1.296287894251772,37.763938066629,57.346118695433496,1.5493925053743844,1.0203160029820235,0.6424581005587092,0.7954511895844423,-0.15299308902573305,1
1s,45.0,42.6113901644334,36.87275204445125,1.1556335722666982,31.999792675174003,44.8850995554136,1.3316145700372635,0.9493437819342885,0.4678770949720351,0.7035939178562197,-0.2357168228841846,2
end,5.0,296.75335299591546,166.11899008071438,1.7863903028288823,124.43742439957784,217.3049154113103,2.3847596848599046,1.365608101566533,2.9531645569619775,1.8658064916124504,1.0873580653495272,1
end,15.0,174.7702987639862,112.84411655349996,1.5487763483098982,86.63187215747854,150.6766089891198,2.017390302339196,1.1599033183485445,1.7392405063290515,1.3282563151627984,0.41098419116625307,1
end,25.0,100.4865618803159,78.5139599567678,1.2798559891215127,62.388674491139135,102.8669845335027,1.610653899925181,0.9768592161617071,1.0,1.0,0.0,2
end,35.0,67.1606388263364,57.852113553410646,1.1609020777491883,47.72395526476794,73.2402757617963,1.4072731074726643,0.916990523694462,0.6683544303797336,0.802471781510372,-0.13411735113063838,2
end,45.0,51.6424609157051,47.42601756417855,1.0889057013024699,40.264564629587596,58.236191491155,1.2825784009038232,0.886776068169716,0.5139240506328959,0.7009822858856688,-0.18705823525277288,2
fast,5.0,183.1653786172832,104.5789237651795,1.751455953290942,79.29904538569338,130.2049346876403,2.309805593830373,1.406746826122176,2.2712933753942526,1.723918695368338,0.5473746800259145,1
fast,15.0,127.57977413412492,77.24244230202555,1.6516797026597818,59.7182978084061,100.5782259159473,2.1363598564620587,1.2684631586238424,1.5820189274447882,1.309387330539335,0.27263159690545313,1
fast,25.0,80.6436458634452,54.610005086640946,1.47671925200338,43.73985137401877,69.679984578937,1.8437110170737132,1.1573430498120736,1.0,1.0,0.0,1
fast,35.0,55.7128026627559,40.3058079626617,1.3822524712658497,33.77983664495317,50.352689586238505,1.6492916543182747,1.1064513756973635,0.6908517350157385,0.8100325269717542,-0.11918079195601572,1
fast,45.0,40.7034174705023,33.3761716849644,1.2195352377348523,28.86336080733353,40.1804290637603,1.4102106037547948,1.0130159985577083,0.5047318611986599,0.7168007210950565,-0.21206885989639668,1
