temperature_deg_c,pulse_direction,abs_c_rate,sib_median_r_1s_mohm,sib_median_r_fast_mohm,sib_median_polarization_1s_mohm,li_reference_family_count,li_reference_median_r_1s_mohm,li_reference_median_r_fast_mohm,li_reference_median_polarization_1s_mohm,sib_to_li_r_1s_ratio,sib_to_li_r_fast_ratio,sib_r_1s_temperature_factor_vs_25c,li_reference_r_1s_temperature_factor_vs_25c
5.0,charge,1.0,232.77267481805418,185.4549507566775,51.642462282038245,3,114.07471532344691,80.48575966487606,34.88164210027468,2.040528211339837,2.3041958171093704,2.577464788732243,2.204323334434665
5.0,charge,2.0,151.1114413572951,161.541692360073,-8.585877349848,3,111.61671167388779,74.95388129900017,32.96393419455875,1.3538424407162222,2.1552145073803914,1.7652303120356643,2.212548456737274
5.0,charge,3.0,123.50918839504554,142.37702486681238,-19.4188837229419,3,103.33745740942418,70.39833781281631,28.432171844902367,1.1952025092479366,2.022448672657326,1.5469989616580406,2.072664315300787
5.0,discharge,1.0,286.5774986282914,183.16537861728318,107.1008672192727,3,106.89063804935746,79.29904538569338,28.6511850510073,2.681034596275516,2.3098055938303728,3.146648044692823,2.1264571089489746
5.0,discharge,2.0,219.98925452031932,163.8948565767169,56.7939879406308,3,91.08158936187795,73.47133422502047,17.9705152369785,2.4152988113358007,2.2307320032430136,2.6007518796992155,1.882593548329398
5.0,discharge,3.0,187.9981633463311,153.6971903767371,39.473756739339805,3,82.73208260510336,68.83032571138067,13.859344202643435,2.2723731523075954,2.2329865330177308,2.3774751751084526,1.7629772753369342
15.0,charge,1.0,160.20611143898506,127.198182960684,32.880730295337955,3,76.16325533538854,60.608359824708295,15.809181086383335,2.103456722451132,2.098690400607557,1.7739436619717475,1.4717410469644596
15.0,charge,2.0,119.7570892574861,115.3051528538617,4.1339409462234995,3,70.12339788578835,57.70496516199807,12.619758089994166,1.7078049961660062,1.998184255551662,1.3989598811292758,1.3900375082423413
15.0,charge,3.0,99.744474858522,105.7439476832175,-6.5295000477232,3,77.42072951043855,55.36670876431537,17.900185321708165,1.2883432575389717,1.9098832139968374,1.2493370010959433,1.5528462509491376
15.0,discharge,1.0,164.8488407555576,127.57977413412492,36.378679364262496,3,72.0096058396961,59.7182978084061,12.6303595888156,2.2892618121328865,2.1363598564620587,1.8100558659218644,1.4325420920373655
15.0,discharge,2.0,139.2820084994206,116.89512859448969,24.8036453492133,3,65.54604256941694,56.518318387254396,9.4727312812987,2.124949166105843,2.0682697562504098,1.6466165413533511,1.3547914317726635
15.0,discharge,3.0,124.56917003241739,107.4822484792982,19.3764842426203,3,61.48423922579053,53.812790731990134,7.912613708534966,2.026034177229681,1.9973364513764782,1.5753351206434318,1.3101968804996822
25.0,charge,1.0,90.3107099020919,81.2796389118798,9.7942600879698,3,51.7504458358888,44.248455710383695,7.3324297123953,1.7451194563325223,1.8368921040741784,1.0,1.0
25.0,charge,2.0,85.6043771325416,76.8913015997338,6.6143055139551,3,50.447126404853044,43.358380559197805,6.908587561465434,1.696912851795388,1.7733896102220197,1.0,1.0
25.0,charge,3.0,79.8379258526916,73.0540584836352,4.7063278909168,3,49.85730523103437,42.5954811054626,6.6684109226338,1.601328541178262,1.715065931589313,1.0,1.0
25.0,discharge,1.0,91.0738965902579,80.6436458634452,10.811845265598599,3,50.26700872522624,43.73985137401877,6.739051739739234,1.8118025898078343,1.8437110170737132,1.0,1.0
25.0,discharge,2.0,84.5867905498781,77.4000933076707,7.2502963328475,3,48.38091017718784,42.6378660543863,5.7641970418709,1.7483505423955779,1.8152900337212887,1.0,1.0
25.0,discharge,3.0,79.0747114058742,73.6052005365125,5.427122377264,3,46.9274810075427,41.67714849090364,5.283852812035,1.6850406139030654,1.7660805309791625,1.0,1.0
35.0,charge,1.0,58.511164161919396,55.7128041367805,3.8159454888229,3,38.06062423133527,33.90698511409317,4.323161882045267,1.537314884965739,1.643106986637509,0.6478873239436698,0.7354646634742676
35.0,charge,2.0,58.3203668874732,55.013214130497296,3.56154912289855,3,37.90167624828842,33.7586398635593,4.143025917449833,1.5387279049460736,1.6296039873893498,0.6812778603268795,0.7513148706254605
35.0,charge,3.0,58.171852549949,54.3135153910252,3.0527502795887003,3,38.20899162500414,33.737450421847335,4.245464906341517,1.5224650030251277,1.6098879646179025,0.7286242963936899,0.7663669636364627
35.0,discharge,1.0,58.5111626138574,55.7128026627559,4.7063326450257,3,37.763938066629,33.77983664495317,4.1536192162906005,1.5493925053743844,1.6492916543182747,0.6424581005587092,0.7512668651730885
35.0,discharge,2.0,57.9387715721335,54.5044206776285,3.9431436196195,3,37.40366878611393,33.652682597701535,3.8993078580583003,1.549013063489729,1.6196159256959544,0.6849624060150251,0.7731080016710846
35.0,discharge,3.0,57.2390672374971,53.8895218213764,3.7735385067697,3,37.12873963332803,33.41299704978543,3.8569374743875002,1.5416377663980103,1.6128311309841767,0.7238605898123456,0.7911939621766677
45.0,charge,1.0,42.4841931088699,40.5762203644654,2.0351709273742,3,32.126941157774134,28.948128763368032,3.0940396431339,1.322385249819823,1.4016871589921887,0.470422535211251,0.6208051088034141
45.0,charge,2.0,42.3569949259104,40.512621272980404,1.9079727444113999,3,31.957396416328134,28.926932375418264,3.0304590712822335,1.3254207061833345,1.4005156422119447,0.4947994056463829,0.6334829888993204
45.0,charge,3.0,43.0140994256007,40.4914208616163,1.8231727498536499,3,32.20466656950017,29.004615404569666,3.1576196335955,1.3356480289206825,1.39603371038793,0.538767746859628,0.6459367673456593
45.0,discharge,1.0,42.6113901644334,40.7034174705023,2.0351708735221,3,31.999792675174003,28.86336080733353,3.0940346538758003,1.3316145700372635,1.4102106037547948,0.4678770949720351,0.6365963180760161
45.0,discharge,2.0,42.420593456216004,40.639818918325,1.9715718098079997,3,31.830251389665932,28.82097565384397,2.9668760350842,1.3327131142290742,1.4100778338121494,0.5015037593984837,0.6579093132620366
45.0,discharge,3.0,42.399309064811405,40.6185380840905,1.992771497902,3,31.844375941660363,28.87747231594693,3.0375309446789998,1.3314536024347887,1.4065821841913717,0.5361930294906103,0.6785869443224959
