cell_family,chemistry_type,temperature_deg_c,pulse_direction,abs_c_rate,nominal_soc_percent,pulse_count,complete_1s_count,complete_10s_count,median_r_fast_mohm,median_r_1s_mohm,median_r_10s_mohm,median_polarization_1s_mohm
LFP,lithium-ion,5.0,charge,1.0,0,1,1,1,143.04741359726282,274.7781873632801,351.1972945383527,131.7307737660173
LFP,lithium-ion,5.0,charge,1.0,10,2,2,2,139.0420860165463,237.7765897127928,292.6432199058766,98.73450369624639
LFP,lithium-ion,5.0,charge,1.0,20,2,2,2,134.9731818075552,219.91155717019618,268.42052453673716,84.93837536264084
LFP,lithium-ion,5.0,charge,1.0,30,2,2,2,134.14668564010523,216.28768935906885,262.5078981080514,82.1410037189636
LFP,lithium-ion,5.0,charge,1.0,40,2,2,2,133.44734272918197,213.4267410871202,261.9992850819292,79.9793983579382
LFP,lithium-ion,5.0,charge,1.0,50,2,2,2,132.30296342040765,211.13798246956833,261.8721318253961,78.83501904916065
LFP,lithium-ion,5.0,charge,1.0,60,2,2,1,130.96785422683206,207.89557442802692,256.8495781924286,76.92772020119476
LFP,lithium-ion,5.0,charge,1.0,70,2,2,1,130.3320879441735,204.58958975822074,253.416440266086,74.25750181404719
LFP,lithium-ion,5.0,charge,1.0,80,2,2,1,128.99697875059803,202.0465246276029,249.72899582669038,73.04954587700476
LFP,lithium-ion,5.0,charge,1.0,90,2,2,1,128.6790956092737,199.50345949698504,244.2614057958656,70.8243638877113
LFP,lithium-ion,5.0,charge,1.0,100,2,2,1,133.19303621611905,192.00141736166114,249.60184257016098,58.80838114554204
LFP,lithium-ion,5.0,charge,2.0,0,1,1,1,133.065881199217,217.1777592816644,270.2006665535964,84.11187808244739
LFP,lithium-ion,5.0,charge,2.0,10,2,1,1,125.59526395918661,203.3180545031554,253.2892836587123,73.1766981654593
LFP,lithium-ion,5.0,charge,2.0,20,2,0,0,122.1926469948674,,,
LFP,lithium-ion,5.0,charge,2.0,30,2,0,0,121.33332993982431,,,
LFP,lithium-ion,5.0,charge,2.0,40,2,0,0,120.54056161605395,,,
LFP,lithium-ion,5.0,charge,2.0,50,2,0,0,119.7767711223796,,,
LFP,lithium-ion,5.0,charge,2.0,60,2,0,0,118.9812077920305,,,
LFP,lithium-ion,5.0,charge,2.0,70,2,0,0,118.31539302081976,,,
LFP,lithium-ion,5.0,charge,2.0,80,2,0,0,117.71141868782685,,,
LFP,lithium-ion,5.0,charge,2.0,90,2,0,0,117.0492910213997,,,
LFP,lithium-ion,5.0,charge,2.0,100,2,0,0,114.86054796074185,,,
LFP,lithium-ion,5.0,charge,3.0,0,1,1,0,121.3887314726498,184.54138855862982,,63.152657085979904
LFP,lithium-ion,5.0,charge,3.0,10,2,1,0,115.51614834771145,173.4793743066356,,53.9977334147684
LFP,lithium-ion,5.0,charge,3.0,20,2,0,0,111.4669874834779,,,
