cell,temperature_deg_c,rate,current_a,Q_ah,E_wh,v_min
A11,25,C/3,1.3693065999999998,4.0013067038273835,14.683868306871583,2.4999325
A11,25,C/10,0.41024988,4.0110094739347275,14.815780359644814,2.4999721
A11,25,C/20,0.20524493000000002,4.011785446750164,14.843408640447649,2.4999721
A12,25,C/3,1.3673386573791504,3.845058432790662,14.14389945458336,2.499999523162842
A12,25,C/10,0.4100632667541504,3.873541492596471,14.349913346278905,2.4999969005584717
A12,25,C/20,0.2049117088317871,3.8875736987768446,14.422583062138113,2.5000057220458984
A12,5,C/3,1.367283821105957,3.8352171123046728,14.06006262611138,2.4999146461486816
A12,5,C/10,0.41001415252685547,3.855112190241838,14.269356178497297,2.5000014305114746
A12,5,C/20,0.20499181747436523,3.8550343707122456,14.299190052680808,2.499990224838257
A13,25,C/3,1.3677397,4.0156080895156725,14.73845569540521,2.4999626
A13,25,C/10,0.41013126,4.013130580538271,14.821393436492443,2.5000415
A13,25,C/20,0.20508216999999998,4.012369779151355,14.84319194847729,2.4999626
A13,5,C/3,1.3672714233398438,3.7713394467453165,13.774256212266677,2.499990224838257
A13,5,C/10,0.41004228591918945,3.8052519029393954,14.068673358644862,2.499998092651367
A13,5,C/20,0.20499467849731445,3.8113386708351276,14.136385912771411,2.4999964237213135
A15,25,C/3,1.3672809600830078,3.8407824342063224,14.133908805721193,2.4999821186065674
A15,25,C/10,0.410031795501709,3.8674407936033344,14.330087843996901,2.500000476837158
A15,25,C/20,0.20508670806884766,3.8797752489260753,14.39619524384288,2.4999988079071045
A15,5,C/3,1.3673405647277832,3.8291586723671047,14.0353637131159,2.4999947547912598
A15,5,C/10,0.41013574600219727,3.851501891295876,14.255049931871822,2.5000102519989014
A15,5,C/20,0.20497608184814453,3.8524333926740897,14.289557628433288,2.499983310699463
A19,25,C/3,1.3672575950622559,3.9608369705501665,14.548928832039406,2.4999754428863525
A19,25,C/10,0.40999269485473633,3.973235488530031,14.692973995362696,2.499999761581421
A19,25,C/20,0.20498132705688477,3.971272656187139,14.708504404699182,2.499997138977051
A19,5,C/3,1.367314338684082,3.812649003790553,13.907229659994229,2.4999842643737793
A19,5,C/10,0.4101386070251465,3.852714852178726,14.222932357365186,2.4999642372131348
A19,5,C/20,0.20496129989624023,3.8603909086382235,14.298375976822916,2.500032901763916
A21,25,C/3,1.0502128601074219,3.84585591246055,14.185500330572426,2.4998185634613037
A21,25,C/10,0.41005825996398926,3.867349027077919,14.328856918051418,2.4999446868896484
A21,25,C/20,0.20504701137542725,3.8802307776438965,14.39646614504416,2.5000076293945312
A21,5,C/3,1.0502270460128784,3.7679701653041384,13.810353413176516,2.5000076293945312
A21,5,C/10,0.41006946563720703,3.8019946782496996,14.048365795012895,2.4998815059661865
A21,5,C/20,0.20502859354019165,3.8193848661207466,14.15345195195634,2.5000076293945312
A2,25,C/3,1.3681484,3.90531563197798,14.38407140894561,2.4999762
A2,25,C/10,0.41012396,3.8810107963077747,14.384875814925229,2.4999368
A2,25,C/20,0.20518369,3.887828293463783,14.432961034946606,2.4999762
A2,5,C/3,1.0501887798309326,3.7100869018884084,13.591048264878134,2.5000076293945312
A2,5,C/10,0.4100382328033447,3.7319361381361835,13.802331456803243,2.4999446868896484
A2,5,C/20,0.20505154132843018,3.7383645902217872,13.872235374459377,2.4999446868896484
A37,25,C/3,1.0502686500549316,3.8552325904701163,14.251497502034598,2.4998936653137207
A37,25,C/10,0.4100531339645386,3.8757302967193183,14.383681650656754,2.4998936653137207
A37,25,C/20,0.205061674118042,3.889306979909919,14.45024545270072,2.4999566078186035
A37,5,C/3,1.050282597541809,3.792981422240135,13.941037873236606,2.4998936653137207
A37,5,C/10,0.4100627303123474,3.825110082132121,14.161174300531972,2.4999566078186035
A37,5,C/20,0.20505684614181519,3.840922484507732,14.25506330484194,2.4999566078186035
A4,25,C/3,1.3689556,3.8764022233482116,14.274597199322343,2.4998684
A4,25,C/10,0.41024356,3.8934288129414614,14.429431364983234,2.4998684
A4,25,C/20,0.20519583,3.8994665700371574,14.47302205728431,2.4999471
A6,5,C/3,1.3671669960021973,3.8261913252922963,14.044119539594293,2.499969005584717
A6,5,C/10,0.41013574600219727,3.8438035533788066,14.236969000837204,2.5000011920928955
A6,5,C/20,0.2050919532775879,3.843299614232199,14.263307310316792,2.50001859664917
A8,25,C/3,1.3673415184020996,3.974239832627366,14.59297879434211,2.4999988079071045
A8,25,C/10,0.41007184982299805,3.9874885826812383,14.739439360227738,2.4999501705169678
A8,25,C/20,0.20491361618041992,3.9877347635981772,14.763552094869624,2.499985694885254
A8,5,C/3,1.3671669960021973,3.819049818535251,14.006129686893974,2.5000202655792236
A8,5,C/10,0.40999603271484375,3.838892118233942,14.21364172094102,2.499983787536621
A8,5,C/20,0.20493268966674805,3.8391302177492936,14.244384793321283,2.4999959468841553
A9,5,C/3,1.3671855926513672,3.778065934298077,13.807506629882932,2.4999725818634033
A9,5,C/10,0.4101386070251465,3.808710911583127,14.079668886741379,2.499976873397827
A9,5,C/20,0.20510196685791016,3.8156357948466515,14.145826355564854,2.4999821186065674
